YEAR,TEAM,PLAYERS
2018,Cleveland Cavaliers,1
2018,Golden State Warriors,2 
2018,New Orleans Pelicans,1
2018,Houston Rockets,1
2018,Portland Trail Blazers,1
2018,San Antonio Spurs,1
2018,Milwaukee Bucks,1
2018,Philadelphia 76ers,1 
2018,Toronto Raptors,1
2018,Oklahoma City Thunder,2
2018,Minnesota Timberwolves,2
2018,Indiana Pacers,1
2017,Cleveland Cavaliers,1
2017,Golden State Warriors,3
2017,New Orleans Pelicans,1
2017,Houston Rockets,1
2017,Utah Jazz,1
2017,San Antonio Spurs,1
2017,Milwaukee Bucks,1
2017,Boston Celtics,1 
2017,Toronto Raptors,1
2017,Oklahoma City Thunder,1
2017,Chicago Bulls,1
2017,Los Angeles Clippers,1
2017,Washington Wizards,1
2016,Cleveland Cavaliers,1
2016,San Antonio Spurs,2
2016,Los Angeles Clippers,2
2016,Golden State Warriors,3
2016,Oklahoma City Thunder,2
2016,Sacramento Kings,1
2016,Portland Trail Blazers,1
2016,Indiana Pacers,1
2016,Detroit Pistons,1
2016,Toronto Raptors,1
2015,Cleveland Cavaliers,2
2015,New Orleans Pelicans,1
2015,Memphis Grizzlies,1
2015,Golden State Warriors,2
2015,Houston Rockets,1
2015,Los Angeles Clippers,3
2015,Portland Trail Blazers,1
2015,Sacramento Kings,1
2015,Chicago Bulls,1
2015,Oklahoma City Thunder,1
2015,San Antonio Spurs,1
2014,Oklahoma City Thunder,1
2014,Miami Heat,2
2014,Chicago Bulls,1
2014,Houston Rockets,2
2014,Los Angeles Clippers,2
2014,Minnesota Timberwolves,1
2014,Golden State Warriors,1
2014,San Antonio Spurs,1
2014,Indiana Pacers,1
2014,Portland Trail Blazers,2
2014,Charlotte Bobcats,1
2013,Miami Heat,2
2013,Oklahoma City Thunder,2
2013,San Antonio Spurs,2
2013,Los Angeles Clippers,2
2013,Los Angeles Lakers,2
2013,New York Knicks,1
2013,Memphis Grizzlies,1
2013,Golden State Warriors,1
2013,Indiana Pacers,1
2013,Houston Rockets,1
2012,Oklahoma City Thunder,2
2012,Miami Heat,2
2012,Orlando Magic,1
2012,Los Angeles Lakers,2
2012,Chicago Bulls,1
2012,Minnesota Timberwolves,1
2012,Los Angeles Clippers,1
2012,San Antonio Spurs,1
2012,New York Knicks,2
2012,Dallas Mavericks,1
2012,Boston Celtics,1
2011,Oklahoma City Thunder,2
2011,Miami Heat,2
2011,Orlando Magic,1
2011,Los Angeles Lakers,2
2011,Chicago Bulls,1
2011,Dallas Mavericks,1
2011,New York Knicks,1
2011,Portland Trail Blazers,1
2011,Memphis Grizzlies,1
2011,Atlanta Hawks,1
2011,San Antonio Spurs,1
2011,New Orleans Hornets,1
2010,Oklahoma City Thunder,1
2010,Miami Heat,1
2010,Orlando Magic,1
2010,Los Angeles Lakers,2
2010,Denver Nuggets,1
2010,Dallas Mavericks,1
2010,Phoenix Suns,2
2010,Utah Jazz,1
2010,San Antonio Spurs,1
2010,Portland Trail Blazers,1
2010,Atlanta Hawks,1
2010,Milwaukee Bucks,1
2010,Cleveland Cavaliers,1
