,DATE,START,VISITOR,PTS,HOME,PTS,ATTEND,NOTES,VISITOR_MP,VISITOR_FG,VISITOR_FGA,VISITOR_FG%,VISITOR_3P,VISITOR_3PA,VISITOR_3P%,VISITOR_FT,VISITOR_FTA,VISITOR_FT%,VISITOR_ORB,VISITOR_DRB,VISITOR_TRB,VISITOR_AST,VISITOR_STL,VISITOR_BLK,VISITOR_TOV,VISITOR_PF,VISITOR_PTS,VISITOR_+/-,VISITOR_TS%,VISITOR_eFG%,VISITOR_3PAr,VISITOR_FTr,VISITOR_ORB%,VISITOR_DRB%,VISITOR_TRB%,VISITOR_AST%,VISITOR_STL%,VISITOR_BLK%,VISITOR_TOV%,VISITOR_USG%,VISITOR_ORtg,VISITOR_DRtg,HOME_MP,HOME_FG,HOME_FGA,HOME_FG%,HOME_3P,HOME_3PA,HOME_3P%,HOME_FT,HOME_FTA,HOME_FT%,HOME_ORB,HOME_DRB,HOME_TRB,HOME_AST,HOME_STL,HOME_BLK,HOME_TOV,HOME_PF,HOME_PTS,HOME_+/-,HOME_TS%,HOME_eFG%,HOME_3PAr,HOME_FTr,HOME_ORB%,HOME_DRB%,HOME_TRB%,HOME_AST%,HOME_STL%,HOME_BLK%,HOME_TOV%,HOME_USG%,HOME_ORtg,HOME_DRtg
0,"Fri, Feb 1, 2019",7:00p,Memphis Grizzlies,92.0,Charlotte Hornets,100.0,15387.0,,240,35,80,.438,9,29,.310,13,17,.765,9,31,40,23,8,3,11,22,92,,.526,.494,.363,.213,20.9,83.8,50.0,65.7,9.0,6.8,11.2,100.0,104.1,113.1,240,32,73,.438,12,29,.414,24,28,.857,6,34,40,15,6,7,12,17,100,,.586,.521,.397,.384,16.2,79.1,50.0,46.9,6.8,13.7,12.3,100.0,113.1,104.1
1,"Fri, Feb 1, 2019",10:00p,Houston Rockets,122.0,Denver Nuggets,136.0,20106.0,,240,45,85,.529,16,44,.364,16,21,.762,11,19,30,23,6,3,10,24,122,,.647,.624,.518,.247,29.7,65.5,45.5,51.1,6.7,5.9,9.6,100.0,136.7,152.4,240,51,82,.622,14,31,.452,20,23,.870,10,26,36,37,7,4,8,14,136,,.738,.707,.378,.280,34.5,70.3,54.5,72.5,7.8,9.8,8.0,100.0,152.4,136.7
2,"Fri, Feb 1, 2019",8:00p,Oklahoma City Thunder,118.0,Miami Heat,102.0,19600.0,,240,44,91,.484,16,30,.533,14,19,.737,13,37,50,23,10,4,15,20,118,,.594,.571,.330,.209,26.5,77.1,51.5,52.3,9.9,7.1,13.1,100.0,116.6,100.8,240,41,92,.446,11,36,.306,9,14,.643,11,36,47,28,7,2,17,17,102,,.520,.505,.391,.152,22.9,73.5,48.5,68.3,6.9,3.3,14.8,100.0,100.8,116.6
3,"Fri, Feb 1, 2019",7:30p,Boston Celtics,113.0,New York Knicks,99.0,18343.0,,240,46,100,.460,13,37,.351,8,10,.800,11,32,43,25,11,7,7,18,113,,.541,.525,.370,.100,21.6,80.0,47.3,54.3,11.2,12.7,6.3,100.0,115.1,100.9,240,39,86,.453,9,31,.290,12,12,1.000,8,40,48,21,2,2,17,15,99,,.542,.506,.360,.140,20.0,78.4,52.7,53.8,2.0,3.2,15.7,100.0,100.9,115.1
4,"Fri, Feb 1, 2019",9:00p,Atlanta Hawks,112.0,Utah Jazz,128.0,18306.0,,240,39,98,.398,14,46,.304,20,24,.833,8,32,40,23,11,4,11,27,112,,.516,.469,.469,.245,16.7,74.4,44.0,59.0,10.4,7.7,9.2,100.0,106.2,121.4,240,46,87,.529,12,35,.343,24,30,.800,11,40,51,31,4,6,15,22,128,,.639,.598,.402,.345,25.6,83.3,56.0,67.4,3.8,11.5,13.0,100.0,121.4,106.2
5,"Sat, Feb 2, 2019",7:00p,Chicago Bulls,118.0,Charlotte Hornets,125.0,19114.0,,240,42,81,.519,9,24,.375,25,25,1.000,8,31,39,20,4,2,10,20,118,,.641,.574,.296,.309,22.9,77.5,52.0,47.6,4.4,4.0,9.8,100.0,129.9,137.6,240,43,82,.524,14,32,.438,25,29,.862,9,27,36,25,6,2,6,21,125,,.660,.610,.390,.354,22.5,77.1,48.0,58.1,6.6,3.5,6.0,100.0,137.6,129.9
6,"Sat, Feb 2, 2019",7:30p,Dallas Mavericks,111.0,Cleveland Cavaliers,98.0,19432.0,,240,40,84,.476,16,39,.410,15,19,.789,9,41,50,20,2,4,13,26,111,,.601,.571,.464,.226,21.4,78.8,53.2,50.0,2.1,6.5,12.3,100.0,118.6,104.7,240,34,85,.400,4,23,.174,26,33,.788,11,33,44,20,7,2,6,22,98,,.492,.424,.271,.388,21.2,78.6,46.8,58.8,7.5,4.4,5.7,100.0,104.7,118.6
7,"Sat, Feb 2, 2019",5:00p,Los Angeles Clippers,111.0,Detroit Pistons,101.0,17862.0,,240,40,82,.488,10,20,.500,21,34,.618,11,36,47,22,5,4,12,24,111,,.572,.549,.244,.415,26.2,83.7,55.3,55.0,5.2,9.8,11.0,100.0,115.3,105.0,240,35,83,.422,17,42,.405,14,20,.700,7,31,38,21,6,4,14,27,101,,.550,.524,.506,.241,16.3,73.8,44.7,60.0,6.2,6.5,13.2,100.0,105.0,115.3
8,"Sat, Feb 2, 2019",8:30p,Los Angeles Lakers,101.0,Golden State Warriors,115.0,19596.0,,240,42,96,.438,7,27,.259,10,17,.588,13,36,49,23,5,4,15,18,101,,.488,.474,.281,.177,26.0,83.7,52.7,54.8,4.9,7.0,12.7,100.0,99.5,113.3,240,43,91,.473,11,34,.324,18,19,.947,7,37,44,31,4,9,10,17,115,,.579,.533,.374,.209,16.3,74.0,47.3,72.1,3.9,13.0,9.1,100.0,113.3,99.5
9,"Sat, Feb 2, 2019",7:30p,Indiana Pacers,95.0,Miami Heat,88.0,19600.0,,240,38,89,.427,7,24,.292,12,17,.706,14,29,43,26,15,4,13,20,95,,.492,.466,.270,.191,29.8,74.4,50.0,68.4,16.2,9.8,11.9,100.0,102.3,94.8,240,30,71,.423,9,30,.300,19,26,.731,10,33,43,21,8,4,23,19,88,,.534,.486,.423,.366,25.6,70.2,50.0,70.0,8.6,6.2,21.8,100.0,94.8,102.3
10,"Sat, Feb 2, 2019",9:00p,Denver Nuggets,107.0,Minnesota Timberwolves,106.0,17208.0,,240,42,89,.472,13,33,.394,10,14,.714,15,33,48,29,3,7,10,16,107,,.562,.545,.371,.157,31.3,80.5,53.9,69.0,3.3,12.7,9.5,100.0,117.3,116.2,240,42,89,.472,11,34,.324,11,16,.688,8,33,41,27,6,4,8,15,106,,.552,.534,.382,.180,19.5,68.8,46.1,64.3,6.6,7.1,7.7,100.0,116.2,117.3
11,"Sat, Feb 2, 2019",7:00p,Brooklyn Nets,89.0,Orlando Magic,102.0,17385.0,,240,33,91,.363,10,38,.263,13,16,.813,8,42,50,23,6,2,18,11,89,,.454,.418,.418,.176,16.0,85.7,50.5,69.7,5.7,3.0,15.5,100.0,84.7,97.1,240,41,94,.436,10,27,.370,10,12,.833,7,42,49,25,11,8,14,17,102,,.514,.489,.287,.128,14.3,84.0,49.5,61.0,10.5,15.1,12.4,100.0,97.1,84.7
12,"Sat, Feb 2, 2019",9:00p,Atlanta Hawks,118.0,Phoenix Suns,112.0,15534.0,,240,43,84,.512,14,32,.438,18,26,.692,16,37,53,21,6,5,24,18,118,,.618,.595,.381,.310,37.2,78.7,58.9,48.8,5.9,7.8,20.1,100.0,115.9,110.0,240,45,96,.469,12,32,.375,10,18,.556,10,27,37,31,15,5,10,23,112,,.539,.531,.333,.188,21.3,62.8,41.1,68.9,14.7,9.6,8.8,100.0,110.0,115.9
13,"Sat, Feb 2, 2019",10:00p,Philadelphia 76ers,108.0,Sacramento Kings,115.0,17583.0,,240,41,93,.441,7,33,.212,19,25,.760,14,32,46,19,9,5,13,22,108,,.519,.478,.355,.269,26.9,72.7,47.9,46.3,8.8,8.1,11.1,100.0,105.9,112.7,240,42,92,.457,11,30,.367,20,24,.833,12,38,50,22,9,2,16,19,115,,.561,.516,.326,.261,27.3,73.1,52.1,52.4,8.8,3.3,13.5,100.0,112.7,105.9
