,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
0,2019-01-28,ATL,@,LAC,W 123-118,240,44,87,.506,34,53,.642,10,34,.294,25,29,.862,123,41,85,.482,31,58,.534,10,27,.370,26,28,.929,118
1,2019-01-26,ATL,@,POR,L 111-120,240,42,92,.457,30,59,.508,12,33,.364,15,20,.750,111,41,82,.500,30,52,.577,11,30,.367,27,30,.900,120
2,2019-01-23,ATL,@,CHI,W 121-101,240,45,90,.500,30,50,.600,15,40,.375,16,21,.762,121,35,79,.443,27,53,.509,8,26,.308,23,27,.852,101
3,2019-01-21,ATL,,ORL,L 103-122,240,39,86,.453,30,56,.536,9,30,.300,16,23,.696,103,46,91,.505,35,62,.565,11,29,.379,19,21,.905,122
4,2019-01-19,ATL,,BOS,L 105-113,240,40,92,.435,28,51,.549,12,41,.293,13,14,.929,105,39,88,.443,27,56,.482,12,32,.375,23,25,.920,113
5,2019-01-15,ATL,,OKC,W 142-126,240,56,90,.622,38,53,.717,18,37,.486,12,16,.750,142,43,94,.457,34,62,.548,9,32,.281,31,41,.756,126
6,2019-01-13,ATL,,MIL,L 114-133,240,39,96,.406,27,58,.466,12,38,.316,24,30,.800,114,49,92,.533,38,62,.613,11,30,.367,24,33,.727,133
7,2019-01-11,ATL,@,PHI,W 123-121,240,45,81,.556,33,56,.589,12,25,.480,21,27,.778,123,45,87,.517,34,54,.630,11,33,.333,20,27,.741,121
8,2019-01-09,ATL,@,BRK,L 100-116,240,36,99,.364,30,64,.469,6,35,.171,22,25,.880,100,43,95,.453,33,65,.508,10,30,.333,20,26,.769,116
9,2019-01-08,ATL,@,TOR,L 101-104,240,40,87,.460,30,60,.500,10,27,.370,11,16,.688,101,37,80,.463,27,48,.563,10,32,.313,20,27,.741,104
10,2019-01-06,ATL,,MIA,W 106-82,240,43,91,.473,33,67,.493,10,24,.417,10,13,.769,106,31,87,.356,26,53,.491,5,34,.147,15,27,.556,82
11,2019-01-04,ATL,@,MIL,L 112-144,240,37,85,.435,23,44,.523,14,41,.341,24,35,.686,112,55,100,.550,41,60,.683,14,40,.350,20,28,.714,144
12,2019-01-02,ATL,@,WAS,L 98-114,240,40,95,.421,30,64,.469,10,31,.323,8,13,.615,98,43,92,.467,32,63,.508,11,29,.379,17,23,.739,114
13,2018-12-31,ATL,@,IND,L 108-116,240,41,95,.432,28,63,.444,13,32,.406,13,19,.684,108,42,84,.500,31,60,.517,11,24,.458,21,29,.724,116
14,2018-12-29,ATL,,CLE,W 111-108,240,43,98,.439,33,61,.541,10,37,.270,15,25,.600,111,40,85,.471,35,62,.565,5,23,.217,23,29,.793,108
15,2018-12-28,ATL,@,MIN,W 123-120 (OT),265,47,100,.470,31,65,.477,16,35,.457,13,20,.650,123,44,98,.449,33,66,.500,11,32,.344,21,38,.553,120
16,2018-12-26,ATL,,IND,L 121-129,240,45,89,.506,28,53,.528,17,36,.472,14,18,.778,121,46,83,.554,33,56,.589,13,27,.481,24,33,.727,129
17,2018-12-23,ATL,@,DET,W 98-95,240,36,91,.396,30,68,.441,6,23,.261,20,25,.800,98,34,83,.410,24,54,.444,10,29,.345,17,27,.630,95
18,2018-12-21,ATL,@,NYK,W 114-107,240,43,91,.473,33,62,.532,10,29,.345,18,24,.750,114,41,84,.488,33,57,.579,8,27,.296,17,24,.708,107
19,2018-12-18,ATL,,WAS,W 118-110,240,37,79,.468,25,47,.532,12,32,.375,32,39,.821,118,36,83,.434,23,43,.535,13,40,.325,25,36,.694,110
20,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,2018-12-16,ATL,@,BRK,L 127-144,240,47,85,.553,33,56,.589,14,29,.483,19,25,.760,127,49,88,.557,33,48,.688,16,40,.400,30,33,.909,144
22,2018-12-14,ATL,@,BOS,L 108-129,240,36,86,.419,20,48,.417,16,38,.421,20,32,.625,108,46,95,.484,27,56,.482,19,39,.487,18,20,.900,129
