,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
0,2019-01-26,BOS,,GSW,L 111-115,240,41,99,.414,26,59,.441,15,40,.375,14,15,.933,111,37,83,.446,25,50,.500,12,33,.364,29,34,.853,115
1,2019-01-23,BOS,,CLE,W 123-103,240,45,86,.523,33,61,.541,12,25,.480,21,23,.913,123,38,87,.437,25,57,.439,13,30,.433,14,20,.700,103
2,2019-01-21,BOS,,MIA,W 107-99,240,43,87,.494,31,57,.544,12,30,.400,9,10,.900,107,36,86,.419,25,51,.490,11,35,.314,16,18,.889,99
3,2019-01-19,BOS,@,ATL,W 113-105,240,39,88,.443,27,56,.482,12,32,.375,23,25,.920,113,40,92,.435,28,51,.549,12,41,.293,13,14,.929,105
4,2019-01-18,BOS,,MEM,W 122-116,240,44,86,.512,27,48,.563,17,38,.447,17,22,.773,122,41,92,.446,25,57,.439,16,35,.457,18,20,.900,116
5,2019-01-16,BOS,,TOR,W 117-108,240,46,92,.500,32,62,.516,14,30,.467,11,13,.846,117,41,92,.446,34,63,.540,7,29,.241,19,21,.905,108
6,2019-01-14,BOS,@,BRK,L 102-109,240,37,91,.407,26,55,.473,11,36,.306,17,23,.739,102,37,86,.430,24,48,.500,13,38,.342,22,25,.880,109
7,2019-01-12,BOS,@,ORL,L 103-105,240,38,90,.422,30,58,.517,8,32,.250,19,28,.679,103,36,84,.429,25,46,.543,11,38,.289,22,24,.917,105
8,2019-01-10,BOS,@,MIA,L 99-115,240,36,89,.404,24,55,.436,12,34,.353,15,17,.882,99,46,96,.479,28,57,.491,18,39,.462,5,8,.625,115
9,2019-01-09,BOS,,IND,W 135-108,240,50,88,.568,36,56,.643,14,32,.438,21,24,.875,135,39,91,.429,30,63,.476,9,28,.321,21,33,.636,108
10,2019-01-07,BOS,,BRK,W 116-95,240,47,93,.505,35,61,.574,12,32,.375,10,12,.833,116,32,79,.405,21,37,.568,11,42,.262,20,22,.909,95
11,2019-01-04,BOS,,DAL,W 114-93,240,42,96,.438,21,51,.412,21,45,.467,9,11,.818,114,34,88,.386,23,44,.523,11,44,.250,14,19,.737,93
12,2019-01-02,BOS,,MIN,W 115-102,240,45,76,.592,33,46,.717,12,30,.400,13,15,.867,115,40,84,.476,33,61,.541,7,23,.304,15,21,.714,102
13,2018-12-31,BOS,@,SAS,L 111-120,240,43,88,.489,32,54,.593,11,34,.324,14,20,.700,111,45,91,.495,31,65,.477,14,26,.538,16,18,.889,120
14,2018-12-29,BOS,@,MEM,W 112-103,240,40,80,.500,24,44,.545,16,36,.444,16,18,.889,112,36,76,.474,29,50,.580,7,26,.269,24,29,.828,103
15,2018-12-27,BOS,@,HOU,L 113-127,240,38,81,.469,26,50,.520,12,31,.387,25,31,.806,113,41,86,.477,23,41,.561,18,45,.400,27,35,.771,127
16,2018-12-25,BOS,,PHI,W 121-114 (OT),265,45,108,.417,31,67,.463,14,41,.341,17,20,.850,121,38,92,.413,23,52,.442,15,40,.375,23,29,.793,114
17,2018-12-23,BOS,,CHO,W 119-103,240,43,86,.500,30,47,.638,13,39,.333,20,25,.800,119,38,88,.432,30,56,.536,8,32,.250,19,26,.731,103
18,2018-12-21,BOS,,MIL,L 107-120,240,35,91,.385,25,57,.439,10,34,.294,27,36,.750,107,41,80,.513,25,40,.625,16,40,.400,22,28,.786,120
19,2018-12-19,BOS,,PHO,L 103-111,240,38,85,.447,23,46,.500,15,39,.385,12,14,.857,103,41,96,.427,30,69,.435,11,27,.407,18,22,.818,111
20,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,2018-12-15,BOS,@,DET,L 104-113,240,39,94,.415,30,61,.492,9,33,.273,17,23,.739,104,39,80,.488,29,50,.580,10,30,.333,25,35,.714,113
22,2018-12-14,BOS,,ATL,W 129-108,240,46,95,.484,27,56,.482,19,39,.487,18,20,.900,129,36,86,.419,20,48,.417,16,38,.421,20,32,.625,108
