,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
0,2019-01-27,CHI,,CLE,L 101-104,240,39,88,.443,30,62,.484,9,26,.346,14,17,.824,101,39,92,.424,26,58,.448,13,34,.382,13,15,.867,104
1,2019-01-25,CHI,,LAC,L 101-106,240,40,102,.392,30,67,.448,10,35,.286,11,12,.917,101,38,82,.463,30,61,.492,8,21,.381,22,29,.759,106
2,2019-01-23,CHI,,ATL,L 101-121,240,35,79,.443,27,53,.509,8,26,.308,23,27,.852,101,45,90,.500,30,50,.600,15,40,.375,16,21,.762,121
3,2019-01-21,CHI,@,CLE,W 104-88,240,36,76,.474,21,46,.457,15,30,.500,17,22,.773,104,31,87,.356,25,60,.417,6,27,.222,20,29,.690,88
4,2019-01-19,CHI,,MIA,L 103-117,240,35,89,.393,23,62,.371,12,27,.444,21,26,.808,103,45,79,.570,32,47,.681,13,32,.406,14,23,.609,117
5,2019-01-17,CHI,@,DEN,L 105-135,240,44,93,.473,34,65,.523,10,28,.357,7,11,.636,105,50,96,.521,30,56,.536,20,40,.500,15,20,.750,135
6,2019-01-15,CHI,@,LAL,L 100-107,240,37,92,.402,28,61,.459,9,31,.290,17,24,.708,100,38,82,.463,30,56,.536,8,26,.308,23,34,.676,107
7,2019-01-12,CHI,@,UTA,L 102-110,240,40,97,.412,33,72,.458,7,25,.280,15,17,.882,102,38,88,.432,22,43,.512,16,45,.356,18,25,.720,110
8,2019-01-11,CHI,@,GSW,L 109-146,240,35,78,.449,26,58,.448,9,20,.450,30,34,.882,109,53,92,.576,35,53,.660,18,39,.462,22,26,.846,146
9,2019-01-09,CHI,@,POR,L 112-124,240,43,93,.462,34,71,.479,9,22,.409,17,19,.895,112,47,83,.566,36,57,.632,11,26,.423,19,21,.905,124
10,2019-01-06,CHI,,BRK,L 100-117,240,41,88,.466,34,70,.486,7,18,.389,11,15,.733,100,42,83,.506,26,37,.703,16,46,.348,17,22,.773,117
11,2019-01-04,CHI,,IND,L 116-119 (OT),265,47,91,.516,35,63,.556,12,28,.429,10,13,.769,116,49,93,.527,40,65,.615,9,28,.321,12,17,.706,119
12,2019-01-02,CHI,,ORL,L 84-112,240,36,86,.419,29,66,.439,7,20,.350,5,8,.625,84,44,76,.579,33,50,.660,11,26,.423,13,18,.722,112
13,2018-12-30,CHI,@,TOR,L 89-95,240,33,80,.413,26,60,.433,7,20,.350,16,18,.889,89,34,92,.370,25,59,.424,9,33,.273,18,20,.900,95
14,2018-12-28,CHI,@,WAS,W 101-92,240,37,79,.468,29,57,.509,8,22,.364,19,25,.760,101,34,85,.400,25,55,.455,9,30,.300,15,18,.833,92
15,2018-12-26,CHI,,MIN,L 94-119,240,39,95,.411,33,72,.458,6,23,.261,10,16,.625,94,46,93,.495,35,61,.574,11,32,.344,16,19,.842,119
16,2018-12-23,CHI,@,CLE,W 112-92,240,43,78,.551,32,56,.571,11,22,.500,15,17,.882,112,38,84,.452,31,61,.508,7,23,.304,9,14,.643,92
17,2018-12-21,CHI,,ORL,W 90-80,240,33,75,.440,28,58,.483,5,17,.294,19,26,.731,90,28,86,.326,20,53,.377,8,33,.242,16,24,.667,80
18,2018-12-19,CHI,,BRK,L 93-96,240,40,91,.440,34,72,.472,6,19,.316,7,10,.700,93,34,74,.459,26,49,.531,8,25,.320,20,25,.800,96
19,2018-12-17,CHI,@,OKC,L 96-121,240,38,85,.447,30,63,.476,8,22,.364,12,16,.750,96,43,89,.483,35,68,.515,8,21,.381,27,33,.818,121
20,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
