,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
0,2019-01-27,CLE,@,CHI,W 104-101,240,39,92,.424,26,58,.448,13,34,.382,13,15,.867,104,39,88,.443,30,62,.484,9,26,.346,14,17,.824,101
1,2019-01-25,CLE,,MIA,L 94-100,240,37,85,.435,27,55,.491,10,30,.333,10,13,.769,94,37,80,.463,28,57,.491,9,23,.391,17,25,.680,100
2,2019-01-23,CLE,@,BOS,L 103-123,240,38,87,.437,25,57,.439,13,30,.433,14,20,.700,103,45,86,.523,33,61,.541,12,25,.480,21,23,.913,123
3,2019-01-21,CLE,,CHI,L 88-104,240,31,87,.356,25,60,.417,6,27,.222,20,29,.690,88,36,76,.474,21,46,.457,15,30,.500,17,22,.773,104
4,2019-01-19,CLE,@,DEN,L 102-124,240,35,72,.486,25,43,.581,10,29,.345,22,26,.846,102,50,89,.562,35,52,.673,15,37,.405,9,11,.818,124
5,2019-01-18,CLE,@,UTA,L 99-115,240,36,87,.414,29,63,.460,7,24,.292,20,26,.769,99,44,85,.518,31,48,.646,13,37,.351,14,15,.933,115
6,2019-01-16,CLE,@,POR,L 112-129,240,45,95,.474,39,76,.513,6,19,.316,16,19,.842,112,47,89,.528,31,60,.517,16,29,.552,19,23,.826,129
7,2019-01-13,CLE,@,LAL,W 101-95,240,38,89,.427,30,68,.441,8,21,.381,17,23,.739,101,36,91,.396,29,57,.509,7,34,.206,16,27,.593,95
8,2019-01-11,CLE,@,HOU,L 113-141,240,40,89,.449,31,56,.554,9,33,.273,24,26,.923,113,46,89,.517,26,37,.703,20,52,.385,29,32,.906,141
9,2019-01-09,CLE,@,NOP,L 124-140,240,42,88,.477,28,58,.483,14,30,.467,26,30,.867,124,46,84,.548,34,55,.618,12,29,.414,36,39,.923,140
10,2019-01-08,CLE,,IND,L 115-123,240,41,76,.539,28,47,.596,13,29,.448,20,23,.870,115,49,91,.538,39,65,.600,10,26,.385,15,19,.789,123
11,2019-01-05,CLE,,NOP,L 98-133,240,36,88,.409,24,55,.436,12,33,.364,14,18,.778,98,47,81,.580,33,54,.611,14,27,.519,25,29,.862,133
12,2019-01-04,CLE,,UTA,L 91-117,240,32,82,.390,21,61,.344,11,21,.524,16,17,.941,91,42,82,.512,28,47,.596,14,35,.400,19,22,.864,117
13,2019-01-02,CLE,,MIA,L 92-117,240,34,75,.453,21,44,.477,13,31,.419,11,13,.846,92,44,86,.512,28,55,.509,16,31,.516,13,17,.765,117
14,2018-12-29,CLE,@,ATL,L 108-111,240,40,85,.471,35,62,.565,5,23,.217,23,29,.793,108,43,98,.439,33,61,.541,10,37,.270,15,25,.600,111
15,2018-12-28,CLE,@,MIA,L 94-118,240,31,81,.383,18,44,.409,13,37,.351,19,22,.864,94,48,91,.527,38,60,.633,10,31,.323,12,16,.750,118
16,2018-12-26,CLE,@,MEM,L 87-95,240,33,93,.355,24,64,.375,9,29,.310,12,15,.800,87,36,72,.500,31,50,.620,5,22,.227,18,24,.750,95
17,2018-12-23,CLE,,CHI,L 92-112,240,38,84,.452,31,61,.508,7,23,.304,9,14,.643,92,43,78,.551,32,56,.571,11,22,.500,15,17,.882,112
18,2018-12-21,CLE,@,TOR,L 110-126,240,39,82,.476,30,58,.517,9,24,.375,23,30,.767,110,48,91,.527,39,60,.650,9,31,.290,21,26,.808,126
19,2018-12-19,CLE,@,CHO,L 99-110,240,41,85,.482,31,62,.500,10,23,.435,7,12,.583,99,47,92,.511,37,67,.552,10,25,.400,6,9,.667,110
20,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,2018-12-18,CLE,@,IND,W 92-91,240,38,91,.418,32,60,.533,6,31,.194,10,13,.769,92,37,93,.398,33,71,.465,4,22,.182,13,21,.619,91
22,2018-12-16,CLE,,PHI,L 105-128,240,41,88,.466,29,58,.500,12,30,.400,11,17,.647,105,51,91,.560,40,64,.625,11,27,.407,15,20,.750,128
23,2018-12-14,CLE,,MIL,L 102-114,240,35,87,.402,22,51,.431,13,36,.361,19,21,.905,102,40,94,.426,28,53,.528,12,41,.293,22,28,.786,114
24,2018-12-12,CLE,,NYK,W 113-106,240,43,91,.473,33,57,.579,10,34,.294,17,21,.810,113,41,94,.436,30,67,.448,11,27,.407,13,14,.929,106
25,2018-12-10,CLE,@,MIL,L 92-108,240,36,96,.375,26,66,.394,10,30,.333,10,15,.667,92,42,96,.438,27,60,.450,15,36,.417,9,11,.818,108
26,2018-12-08,CLE,,WAS,W 116-101,240,47,89,.528,32,58,.552,15,31,.484,7,10,.700,116,38,86,.442,24,48,.500,14,38,.368,11,16,.688,101
27,2018-12-07,CLE,,SAC,L 110-129,240,43,81,.531,33,55,.600,10,26,.385,14,19,.737,110,56,98,.571,43,69,.623,13,29,.448,4,7,.571,129
28,2018-12-05,CLE,,GSW,L 105-129,240,39,89,.438,28,57,.491,11,32,.344,16,23,.696,105,45,85,.529,27,51,.529,18,34,.529,21,24,.875,129
29,2018-12-03,CLE,@,BRK,W 99-97,240,38,88,.432,34,73,.466,4,15,.267,19,20,.950,99,39,99,.394,29,59,.492,10,40,.250,9,16,.563,97
30,2018-12-01,CLE,,TOR,L 95-106,240,34,88,.386,29,66,.439,5,22,.227,22,25,.880,95,39,80,.488,32,54,.593,7,26,.269,21,25,.840,106
31,2018-11-30,CLE,@,BOS,L 95-128,240,30,77,.390,23,55,.418,7,22,.318,28,35,.800,95,49,92,.533,32,61,.525,17,31,.548,13,16,.813,128
32,2018-11-28,CLE,@,OKC,L 83-100,240,35,89,.393,26,66,.394,9,23,.391,4,9,.444,83,41,86,.477,35,59,.593,6,27,.222,12,15,.800,100
33,2018-11-26,CLE,,MIN,L 95-102,240,36,86,.419,26,55,.473,10,31,.323,13,14,.929,95,40,86,.465,32,60,.533,8,26,.308,14,19,.737,102
34,2018-11-24,CLE,,HOU,W 117-108,240,44,90,.489,37,68,.544,7,22,.318,22,29,.759,117,37,74,.500,22,35,.629,15,39,.385,19,28,.679,108
35,2018-11-23,CLE,@,PHI,W 121-112,240,49,93,.527,38,71,.535,11,22,.500,12,16,.750,121,40,75,.533,28,42,.667,12,33,.364,20,26,.769,112
36,2018-11-21,CLE,,LAL,L 105-109,240,39,102,.382,26,68,.382,13,34,.382,14,15,.933,105,40,78,.513,31,53,.585,9,25,.360,20,28,.714,109
37,2018-11-19,CLE,@,DET,L 102-113,240,35,79,.443,27,58,.466,8,21,.381,24,34,.706,102,41,89,.461,28,51,.549,13,38,.342,18,19,.947,113
38,2018-11-14,CLE,@,WAS,L 95-119,240,35,77,.455,31,56,.554,4,21,.190,21,31,.677,95,44,92,.478,31,52,.596,13,40,.325,18,26,.692,119
