,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
0,2019-01-26,DEN,,PHI,W 126-110,240,48,94,.511,40,70,.571,8,24,.333,22,29,.759,126,38,91,.418,24,55,.436,14,36,.389,20,27,.741,110
1,2019-01-25,DEN,,PHO,W 132-95,240,47,94,.500,32,58,.552,15,36,.417,23,29,.793,132,32,76,.421,25,46,.543,7,30,.233,24,26,.923,95
2,2019-01-23,DEN,@,UTA,L 108-114,240,42,88,.477,34,61,.557,8,27,.296,16,20,.800,108,38,88,.432,19,42,.452,19,46,.413,19,27,.704,114
3,2019-01-19,DEN,,CLE,W 124-102,240,50,89,.562,35,52,.673,15,37,.405,9,11,.818,124,35,72,.486,25,43,.581,10,29,.345,22,26,.846,102
4,2019-01-17,DEN,,CHI,W 135-105,240,50,96,.521,30,56,.536,20,40,.500,15,20,.750,135,44,93,.473,34,65,.523,10,28,.357,7,11,.636,105
5,2019-01-15,DEN,,GSW,L 111-142,240,42,92,.457,28,58,.483,14,34,.412,13,16,.813,111,57,95,.600,36,56,.643,21,39,.538,7,10,.700,142
6,2019-01-13,DEN,,POR,W 116-113,240,45,81,.556,36,59,.610,9,22,.409,17,20,.850,116,40,88,.455,28,54,.519,12,34,.353,21,22,.955,113
7,2019-01-12,DEN,@,PHO,L 93-102,240,34,88,.386,24,57,.421,10,31,.323,15,22,.682,93,38,92,.413,30,66,.455,8,26,.308,18,25,.720,102
8,2019-01-10,DEN,,LAC,W 121-100,240,50,99,.505,39,71,.549,11,28,.393,10,13,.769,121,38,87,.437,32,63,.508,6,24,.250,18,26,.692,100
9,2019-01-08,DEN,@,MIA,W 103-99,240,41,87,.471,32,60,.533,9,27,.333,12,17,.706,103,38,83,.458,30,52,.577,8,31,.258,15,25,.600,99
10,2019-01-07,DEN,@,HOU,L 113-125,240,44,93,.473,37,64,.578,7,29,.241,18,21,.857,113,38,76,.500,16,29,.552,22,47,.468,27,34,.794,125
11,2019-01-05,DEN,,CHO,W 123-110,240,47,102,.461,33,63,.524,14,39,.359,15,20,.750,123,39,82,.476,28,53,.528,11,29,.379,21,26,.808,110
12,2019-01-03,DEN,@,SAC,W 117-113,240,41,89,.461,27,50,.540,14,39,.359,21,30,.700,117,45,90,.500,32,59,.542,13,31,.419,10,15,.667,113
13,2019-01-01,DEN,,NYK,W 115-108,240,44,95,.463,32,61,.525,12,34,.353,15,23,.652,115,42,93,.452,31,66,.470,11,27,.407,13,18,.722,108
14,2018-12-29,DEN,@,PHO,W 122-118,240,42,76,.553,24,41,.585,18,35,.514,20,26,.769,122,49,91,.538,38,62,.613,11,29,.379,9,14,.643,118
15,2018-12-28,DEN,,SAS,W 102-99,240,39,85,.459,29,56,.518,10,29,.345,14,17,.824,102,40,89,.449,32,62,.516,8,27,.296,11,20,.550,99
16,2018-12-26,DEN,@,SAS,L 103-111,240,35,90,.389,17,50,.340,18,40,.450,15,23,.652,103,42,90,.467,32,58,.552,10,32,.313,17,22,.773,111
17,2018-12-22,DEN,@,LAC,L 111-132,240,41,97,.423,32,66,.485,9,31,.290,20,25,.800,111,53,92,.576,43,72,.597,10,20,.500,16,17,.941,132
18,2018-12-18,DEN,,DAL,W 126-118,240,50,90,.556,38,61,.623,12,29,.414,14,18,.778,126,40,86,.465,25,49,.510,15,37,.405,23,30,.767,118
19,2018-12-16,DEN,,TOR,W 95-86,240,36,85,.424,26,55,.473,10,30,.333,13,16,.813,95,35,88,.398,28,53,.528,7,35,.200,9,14,.643,86
20,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,2018-12-14,DEN,,OKC,W 109-98,240,42,83,.506,31,49,.633,11,34,.324,14,15,.933,109,37,90,.411,30,71,.423,7,19,.368,17,29,.586,98
22,2018-12-10,DEN,,MEM,W 105-99,240,39,77,.506,30,49,.612,9,28,.321,18,23,.783,105,37,74,.500,28,47,.596,9,27,.333,16,17,.941,99
23,2018-12-08,DEN,@,ATL,L 98-106,240,36,97,.371,27,61,.443,9,36,.250,17,21,.810,98,40,93,.430,25,51,.490,15,42,.357,11,16,.688,106
24,2018-12-07,DEN,@,CHO,L 107-113,240,39,101,.386,31,66,.470,8,35,.229,21,26,.808,107,33,86,.384,20,51,.392,13,35,.371,34,38,.895,113
25,2018-12-05,DEN,@,ORL,W 124-118 (OT),265,45,82,.549,34,63,.540,11,19,.579,23,37,.622,124,45,95,.474,25,46,.543,20,49,.408,8,8,1.000,118
26,2018-12-03,DEN,@,TOR,W 106-103,240,40,89,.449,29,61,.475,11,28,.393,15,24,.625,106,40,87,.460,29,46,.630,11,41,.268,12,12,1.000,103
27,2018-11-30,DEN,@,POR,W 113-112,240,40,87,.460,26,57,.456,14,30,.467,19,26,.731,113,45,85,.529,39,63,.619,6,22,.273,16,21,.762,112
28,2018-11-27,DEN,,LAL,W 117-85,240,47,97,.485,38,72,.528,9,25,.360,14,15,.933,117,34,87,.391,29,52,.558,5,35,.143,12,18,.667,85
29,2018-11-24,DEN,@,OKC,W 105-98,240,39,95,.411,29,65,.446,10,30,.333,17,24,.708,105,37,103,.359,28,64,.438,9,39,.231,15,23,.652,98
30,2018-11-23,DEN,,ORL,W 112-87,240,44,93,.473,35,65,.538,9,28,.321,15,17,.882,112,32,79,.405,24,47,.511,8,32,.250,15,19,.789,87
31,2018-11-21,DEN,@,MIN,W 103-101,240,42,89,.472,28,54,.519,14,35,.400,5,6,.833,103,35,79,.443,26,47,.553,9,32,.281,22,26,.846,101
32,2018-11-19,DEN,@,MIL,L 98-104,240,40,94,.426,28,53,.528,12,41,.293,6,9,.667,98,40,88,.455,29,52,.558,11,36,.306,13,22,.591,104
33,2018-11-17,DEN,@,NOP,L 115-125,240,46,95,.484,31,56,.554,15,39,.385,8,13,.615,115,42,87,.483,32,62,.516,10,25,.400,31,34,.912,125
34,2018-11-15,DEN,,ATL,W 138-93,240,53,94,.564,40,63,.635,13,31,.419,19,25,.760,138,32,92,.348,23,50,.460,9,42,.214,20,27,.741,93
35,2018-11-13,DEN,,HOU,L 99-109,240,38,76,.500,27,51,.529,11,25,.440,12,16,.750,99,39,71,.549,26,34,.765,13,37,.351,18,26,.692,109
36,2018-11-11,DEN,,MIL,L 114-121,240,41,89,.461,23,51,.451,18,38,.474,14,20,.700,114,48,84,.571,31,50,.620,17,34,.500,8,13,.615,121
37,2018-11-09,DEN,,BRK,L 110-112,240,40,87,.460,35,69,.507,5,18,.278,25,34,.735,110,36,88,.409,24,55,.436,12,33,.364,28,42,.667,112
38,2018-11-07,DEN,@,MEM,L 87-89,240,32,82,.390,24,50,.480,8,32,.250,15,19,.789,87,30,70,.429,22,49,.449,8,21,.381,21,25,.840,89
39,2018-11-05,DEN,,BOS,W 115-107,240,41,90,.456,28,56,.500,13,34,.382,20,28,.714,115,44,87,.506,35,56,.625,9,31,.290,10,12,.833,107
40,2018-11-03,DEN,,UTA,W 103-88,240,41,83,.494,32,55,.582,9,28,.321,12,19,.632,103,33,81,.407,27,50,.540,6,31,.194,16,24,.667,88
41,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
42,2018-11-01,DEN,@,CLE,W 110-91,240,41,85,.482,31,59,.525,10,26,.385,18,21,.857,110,34,83,.410,29,65,.446,5,18,.278,18,19,.947,91
43,2018-10-31,DEN,@,CHI,W 108-107 (OT),265,45,99,.455,38,73,.521,7,26,.269,11,18,.611,108,39,92,.424,23,58,.397,16,34,.471,13,18,.722,107
44,2018-10-29,DEN,,NOP,W 116-111,240,42,93,.452,31,58,.534,11,35,.314,21,23,.913,116,43,82,.524,32,58,.552,11,24,.458,14,20,.700,111
45,2018-10-25,DEN,@,LAL,L 114-121,240,46,92,.500,40,69,.580,6,23,.261,16,20,.800,114,46,92,.500,36,63,.571,10,29,.345,19,23,.826,121
46,2018-10-23,DEN,,SAC,W 126-112,240,51,99,.515,40,69,.580,11,30,.367,13,15,.867,126,45,86,.523,32,55,.582,13,31,.419,9,20,.450,112
47,2018-10-21,DEN,,GSW,W 100-98,240,35,86,.407,29,54,.537,6,32,.188,24,42,.571,100,36,79,.456,29,50,.580,7,29,.241,19,24,.792,98
48,2018-10-20,DEN,,PHO,W 119-91,240,43,85,.506,34,57,.596,9,28,.321,24,29,.828,119,29,77,.377,18,38,.474,11,39,.282,22,35,.629,91
49,2018-10-17,DEN,@,LAC,W 107-98,240,33,87,.379,25,63,.397,8,24,.333,33,42,.786,107,35,88,.398,27,60,.450,8,28,.286,20,24,.833,98
50,2018-04-11,DEN,@,MIN,L 106-112 (OT),265,41,90,.456,28,58,.483,13,32,.406,11,18,.611,106,42,89,.472,33,66,.500,9,23,.391,19,25,.760,112
51,2018-04-09,DEN,,POR,W 88-82,240,31,83,.373,25,57,.439,6,26,.231,20,26,.769,88,31,94,.330,24,61,.393,7,33,.212,13,18,.722,82
52,2018-04-07,DEN,@,LAC,W 134-115,240,53,85,.624,41,56,.732,12,29,.414,16,23,.696,134,43,87,.494,37,70,.529,6,17,.353,23,34,.676,115
53,2018-04-05,DEN,,MIN,W 100-96,240,35,89,.393,24,53,.453,11,36,.306,19,22,.864,100,39,91,.429,33,67,.493,6,24,.250,12,16,.750,96
54,2018-04-03,DEN,,IND,W 107-104,240,41,89,.461,31,57,.544,10,32,.313,15,20,.750,107,41,84,.488,32,65,.492,9,19,.474,13,16,.813,104
55,2018-04-01,DEN,,MIL,W 128-125 (OT),265,40,90,.444,29,54,.537,11,36,.306,37,46,.804,128,45,100,.450,33,67,.493,12,33,.364,23,27,.852,125
