,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
0,2019-01-26,GSW,@,BOS,W 115-111,240,37,83,.446,25,50,.500,12,33,.364,29,34,.853,115,41,99,.414,26,59,.441,15,40,.375,14,15,.933,111
1,2019-01-24,GSW,@,WAS,W 126-118,240,50,88,.568,43,68,.632,7,20,.350,19,21,.905,126,44,95,.463,29,53,.547,15,42,.357,15,21,.714,118
2,2019-01-21,GSW,@,LAL,W 130-111,240,50,98,.510,34,61,.557,16,37,.432,14,19,.737,130,42,84,.500,37,64,.578,5,20,.250,22,38,.579,111
3,2019-01-18,GSW,@,LAC,W 112-94,240,42,86,.488,33,49,.673,9,37,.243,19,27,.704,112,31,85,.365,27,60,.450,4,25,.160,28,35,.800,94
4,2019-01-16,GSW,,NOP,W 147-140,240,49,102,.480,25,53,.472,24,49,.490,25,31,.806,147,47,98,.480,28,61,.459,19,37,.514,27,33,.818,140
5,2019-01-15,GSW,@,DEN,W 142-111,240,57,95,.600,36,56,.643,21,39,.538,7,10,.700,142,42,92,.457,28,58,.483,14,34,.412,13,16,.813,111
6,2019-01-13,GSW,@,DAL,W 119-114,240,45,99,.455,26,54,.481,19,45,.422,10,12,.833,119,38,91,.418,22,53,.415,16,38,.421,22,29,.759,114
7,2019-01-11,GSW,,CHI,W 146-109,240,53,92,.576,35,53,.660,18,39,.462,22,26,.846,146,35,78,.449,26,58,.448,9,20,.450,30,34,.882,109
8,2019-01-08,GSW,,NYK,W 122-95,240,49,96,.510,35,51,.686,14,45,.311,10,12,.833,122,35,88,.398,29,64,.453,6,24,.250,19,21,.905,95
9,2019-01-05,GSW,@,SAC,W 127-123,240,47,93,.505,26,46,.565,21,47,.447,12,14,.857,127,46,97,.474,26,61,.426,20,36,.556,11,14,.786,123
10,2019-01-03,GSW,,HOU,L 134-135 (OT),265,53,102,.520,39,65,.600,14,37,.378,14,15,.933,134,45,99,.455,24,45,.533,21,54,.389,24,28,.857,135
