,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
0,2019-01-27,HOU,,ORL,W 103-98,240,38,80,.475,26,44,.591,12,36,.333,15,21,.714,103,39,97,.402,29,62,.468,10,35,.286,10,17,.588,98
1,2019-01-25,HOU,,TOR,W 121-119,240,41,91,.451,31,45,.689,10,46,.217,29,33,.879,121,44,91,.484,30,55,.545,14,36,.389,17,18,.944,119
2,2019-01-23,HOU,@,NYK,W 114-110,240,37,90,.411,26,46,.565,11,44,.250,29,38,.763,114,37,81,.457,26,51,.510,11,30,.367,25,30,.833,110
3,2019-01-21,HOU,@,PHI,L 93-121,240,31,86,.360,20,44,.455,11,42,.262,20,26,.769,93,43,88,.489,35,65,.538,8,23,.348,27,33,.818,121
4,2019-01-19,HOU,,LAL,W 138-134 (OT),265,42,100,.420,17,32,.531,25,68,.368,29,36,.806,138,50,96,.521,40,59,.678,10,37,.270,24,30,.800,134
5,2019-01-16,HOU,,BRK,L 142-145 (OT),265,45,105,.429,22,35,.629,23,70,.329,29,34,.853,142,56,108,.519,40,72,.556,16,36,.444,17,22,.773,145
6,2019-01-14,HOU,,MEM,W 112-94,240,37,84,.440,19,36,.528,18,48,.375,20,22,.909,112,36,71,.507,26,49,.531,10,22,.455,12,22,.545,94
7,2019-01-13,HOU,@,ORL,L 109-116,240,38,86,.442,28,44,.636,10,42,.238,23,27,.852,109,41,85,.482,32,61,.525,9,24,.375,25,28,.893,116
8,2019-01-11,HOU,,CLE,W 141-113,240,46,89,.517,26,37,.703,20,52,.385,29,32,.906,141,40,89,.449,31,56,.554,9,33,.273,24,26,.923,113
9,2019-01-09,HOU,,MIL,L 109-116,240,32,85,.376,14,37,.378,18,48,.375,27,32,.844,109,44,91,.484,36,64,.563,8,27,.296,20,24,.833,116
10,2019-01-07,HOU,,DEN,W 125-113,240,38,76,.500,16,29,.552,22,47,.468,27,34,.794,125,44,93,.473,37,64,.578,7,29,.241,18,21,.857,113
11,2019-01-05,HOU,@,POR,L 101-110,240,39,84,.464,26,46,.565,13,38,.342,10,12,.833,101,43,94,.457,34,66,.515,9,28,.321,15,20,.750,110
12,2019-01-03,HOU,@,GSW,W 135-134 (OT),265,45,99,.455,24,45,.533,21,54,.389,24,28,.857,135,53,102,.520,39,65,.600,14,37,.378,14,15,.933,134
13,2018-12-31,HOU,,MEM,W 113-101,240,31,70,.443,13,29,.448,18,41,.439,33,45,.733,113,38,82,.463,32,57,.561,6,25,.240,19,30,.633,101
14,2018-12-29,HOU,@,NOP,W 108-104,240,35,81,.432,19,35,.543,16,46,.348,22,28,.786,108,41,92,.446,32,64,.500,9,28,.321,13,17,.765,104
15,2018-12-27,HOU,,BOS,W 127-113,240,41,86,.477,23,41,.561,18,45,.400,27,35,.771,127,38,81,.469,26,50,.520,12,31,.387,25,31,.806,113
16,2018-12-25,HOU,,OKC,W 113-109,240,44,97,.454,30,53,.566,14,44,.318,11,17,.647,113,43,98,.439,34,68,.500,9,30,.300,14,21,.667,109
17,2018-12-22,HOU,,SAS,W 108-101,240,37,95,.389,18,41,.439,19,54,.352,15,21,.714,108,42,88,.477,32,64,.500,10,24,.417,7,11,.636,101
18,2018-12-20,HOU,@,MIA,L 99-101,240,29,82,.354,11,28,.393,18,54,.333,23,30,.767,99,36,93,.387,27,54,.500,9,39,.231,20,34,.588,101
19,2018-12-19,HOU,,WAS,W 136-118,240,47,85,.553,21,30,.700,26,55,.473,16,21,.762,136,45,84,.536,35,54,.648,10,30,.333,18,23,.783,118
20,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,2018-12-17,HOU,,UTA,W 102-97,240,32,86,.372,20,49,.408,12,37,.324,26,31,.839,102,32,82,.390,22,47,.468,10,35,.286,23,31,.742,97
22,2018-12-15,HOU,@,MEM,W 105-97,240,35,73,.479,22,36,.611,13,37,.351,22,25,.880,105,40,75,.533,35,52,.673,5,23,.217,12,17,.706,97
23,2018-12-13,HOU,,LAL,W 126-111,240,42,85,.494,27,51,.529,15,34,.441,27,32,.844,126,43,80,.538,33,48,.688,10,32,.313,15,27,.556,111
24,2018-12-11,HOU,,POR,W 111-104,240,42,85,.494,33,56,.589,9,29,.310,18,27,.667,111,38,87,.437,28,62,.452,10,25,.400,18,21,.857,104
25,2018-12-08,HOU,@,DAL,L 104-107,240,39,86,.453,24,39,.615,15,47,.319,11,13,.846,104,41,83,.494,29,53,.547,12,30,.400,13,16,.813,107
26,2018-12-06,HOU,@,UTA,L 91-118,240,34,88,.386,26,52,.500,8,36,.222,15,17,.882,91,45,89,.506,37,57,.649,8,32,.250,20,27,.741,118
27,2018-12-03,HOU,@,MIN,L 91-103,240,32,74,.432,21,35,.600,11,39,.282,16,19,.842,91,36,82,.439,25,60,.417,11,22,.500,20,28,.714,103
28,2018-12-01,HOU,,CHI,W 121-105,240,42,84,.500,26,43,.605,16,41,.390,21,30,.700,121,39,88,.443,31,56,.554,8,32,.250,19,24,.792,105
29,2018-11-30,HOU,@,SAS,W 136-105,240,49,98,.500,27,44,.614,22,54,.407,16,20,.800,136,39,86,.453,29,58,.500,10,28,.357,17,20,.850,105
30,2018-11-28,HOU,,DAL,L 108-128,240,40,87,.460,27,42,.643,13,45,.289,15,23,.652,108,46,85,.541,29,51,.569,17,34,.500,19,24,.792,128
31,2018-11-26,HOU,@,WAS,L 131-135 (OT),265,46,97,.474,28,49,.571,18,48,.375,21,27,.778,131,50,89,.562,39,60,.650,11,29,.379,24,32,.750,135
32,2018-11-24,HOU,@,CLE,L 108-117,240,37,74,.500,22,35,.629,15,39,.385,19,28,.679,108,44,90,.489,37,68,.544,7,22,.318,22,29,.759,117
33,2018-11-23,HOU,@,DET,L 111-116 (OT),265,41,98,.418,31,62,.500,10,36,.278,19,21,.905,111,40,88,.455,33,61,.541,7,27,.259,29,40,.725,116
34,2018-11-21,HOU,,DET,W 126-124,240,40,72,.556,27,39,.692,13,33,.394,33,36,.917,126,40,85,.471,24,51,.471,16,34,.471,28,37,.757,124
35,2018-11-17,HOU,,SAC,W 132-112,240,46,81,.568,26,34,.765,20,47,.426,20,24,.833,132,46,102,.451,35,67,.522,11,35,.314,9,12,.750,112
36,2018-11-15,HOU,,GSW,W 107-86,240,35,87,.402,19,40,.475,16,47,.340,21,26,.808,107,32,76,.421,28,58,.483,4,18,.222,18,22,.818,86
37,2018-11-13,HOU,@,DEN,W 109-99,240,39,71,.549,26,34,.765,13,37,.351,18,26,.692,109,38,76,.500,27,51,.529,11,25,.440,12,16,.750,99
38,2018-11-11,HOU,,IND,W 115-103,240,36,74,.486,16,27,.593,20,47,.426,23,32,.719,115,36,78,.462,25,49,.510,11,29,.379,20,26,.769,103
39,2018-11-10,HOU,@,SAS,L 89-96,240,30,90,.333,21,49,.429,9,41,.220,20,29,.690,89,33,74,.446,23,54,.426,10,20,.500,20,27,.741,96
40,2018-11-08,HOU,@,OKC,L 80-98,240,31,82,.378,20,40,.500,11,42,.262,7,10,.700,80,36,81,.444,27,44,.614,9,37,.243,17,24,.708,98
41,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
42,2018-11-05,HOU,@,IND,W 98-94,240,34,76,.447,19,29,.655,15,47,.319,15,16,.938,98,33,75,.440,25,47,.532,8,28,.286,20,30,.667,94
43,2018-11-03,HOU,@,CHI,W 96-88,240,35,83,.422,22,41,.537,13,42,.310,13,20,.650,96,28,71,.394,22,48,.458,6,23,.261,26,27,.963,88
44,2018-11-02,HOU,@,BRK,W 119-111,240,41,83,.494,26,44,.591,15,39,.385,22,32,.688,119,42,85,.494,27,51,.529,15,34,.441,12,20,.600,111
45,2018-10-30,HOU,,POR,L 85-104,240,31,96,.323,21,53,.396,10,43,.233,13,23,.565,85,38,80,.475,30,60,.500,8,20,.400,20,23,.870,104
46,2018-10-26,HOU,,LAC,L 113-133,240,38,98,.388,23,57,.404,15,41,.366,22,25,.880,113,43,79,.544,31,56,.554,12,23,.522,35,38,.921,133
47,2018-10-24,HOU,,UTA,L 89-100,240,35,87,.402,24,47,.511,11,40,.275,8,14,.571,89,34,78,.436,24,49,.490,10,29,.345,22,28,.786,100
48,2018-10-21,HOU,@,LAC,L 112-115,240,43,89,.483,28,54,.519,15,35,.429,11,15,.733,112,42,89,.472,37,64,.578,5,25,.200,26,26,1.000,115
49,2018-10-20,HOU,@,LAL,W 124-115,240,44,96,.458,28,54,.519,16,42,.381,20,30,.667,124,48,100,.480,40,68,.588,8,32,.250,11,18,.611,115
50,2018-10-17,HOU,,NOP,L 112-131,240,39,92,.424,23,44,.523,16,48,.333,18,24,.750,112,52,98,.531,42,73,.575,10,25,.400,17,22,.773,131
51,2018-04-11,HOU,@,SAC,L 83-96,240,31,82,.378,18,36,.500,13,46,.283,8,12,.667,83,38,80,.475,31,54,.574,7,26,.269,13,20,.650,96
52,2018-04-10,HOU,@,LAL,W 105-99,240,37,88,.420,21,41,.512,16,47,.340,15,16,.938,105,38,90,.422,28,54,.519,10,36,.278,13,15,.867,99
53,2018-04-07,HOU,,OKC,L 102-108,240,36,76,.474,22,39,.564,14,37,.378,16,23,.696,102,36,91,.396,26,58,.448,10,33,.303,26,33,.788,108
