,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
0,2019-01-27,LAL,,PHO,W 116-102,240,47,89,.528,37,66,.561,10,23,.435,12,18,.667,116,34,85,.400,27,59,.458,7,26,.269,27,32,.844,102
1,2019-01-24,LAL,,MIN,L 105-120,240,44,87,.506,36,59,.610,8,28,.286,9,14,.643,105,44,102,.431,34,69,.493,10,33,.303,22,25,.880,120
2,2019-01-21,LAL,,GSW,L 111-130,240,42,84,.500,37,64,.578,5,20,.250,22,38,.579,111,50,98,.510,34,61,.557,16,37,.432,14,19,.737,130
3,2019-01-19,LAL,@,HOU,L 134-138 (OT),265,50,96,.521,40,59,.678,10,37,.270,24,30,.800,134,42,100,.420,17,32,.531,25,68,.368,29,36,.806,138
4,2019-01-17,LAL,@,OKC,W 138-128 (OT),265,50,99,.505,31,59,.525,19,40,.475,19,21,.905,138,41,104,.394,19,50,.380,22,54,.407,24,36,.667,128
5,2019-01-15,LAL,,CHI,W 107-100,240,38,82,.463,30,56,.536,8,26,.308,23,34,.676,107,37,92,.402,28,61,.459,9,31,.290,17,24,.708,100
6,2019-01-13,LAL,,CLE,L 95-101,240,36,91,.396,29,57,.509,7,34,.206,16,27,.593,95,38,89,.427,30,68,.441,8,21,.381,17,23,.739,101
7,2019-01-11,LAL,@,UTA,L 95-113,240,37,103,.359,32,76,.421,5,27,.185,16,24,.667,95,38,96,.396,23,54,.426,15,42,.357,22,32,.688,113
8,2019-01-09,LAL,,DET,W 113-100,240,46,82,.561,38,59,.644,8,23,.348,13,18,.722,113,39,86,.453,25,42,.595,14,44,.318,8,14,.571,100
9,2019-01-07,LAL,@,DAL,W 107-97,240,41,94,.436,33,65,.508,8,29,.276,17,27,.630,107,36,86,.419,28,56,.500,8,30,.267,17,24,.708,97
10,2019-01-06,LAL,@,MIN,L 86-108,240,32,87,.368,27,65,.415,5,22,.227,17,28,.607,86,41,89,.461,30,57,.526,11,32,.344,15,21,.714,108
11,2019-01-04,LAL,,NYK,L 112-119,240,43,98,.439,32,61,.525,11,37,.297,15,20,.750,112,37,99,.374,26,62,.419,11,37,.297,34,41,.829,119
12,2019-01-02,LAL,,OKC,L 100-107,240,37,89,.416,30,62,.484,7,27,.259,19,32,.594,100,40,105,.381,33,74,.446,7,31,.226,20,31,.645,107
13,2018-12-30,LAL,,SAC,W 121-114,240,47,98,.480,32,54,.593,15,44,.341,12,20,.600,121,46,95,.484,33,61,.541,13,34,.382,9,12,.750,114
14,2018-12-28,LAL,,LAC,L 107-118,240,36,87,.414,25,57,.439,11,30,.367,24,35,.686,107,40,91,.440,34,72,.472,6,19,.316,32,34,.941,118
15,2018-12-27,LAL,@,SAC,L 116-117,240,45,88,.511,35,63,.556,10,25,.400,16,23,.696,116,45,101,.446,35,72,.486,10,29,.345,17,21,.810,117
16,2018-12-25,LAL,@,GSW,W 127-101,240,47,85,.553,34,52,.654,13,33,.394,20,27,.741,127,38,93,.409,29,57,.509,9,36,.250,16,21,.762,101
17,2018-12-23,LAL,,MEM,L 99-107,240,37,75,.493,27,45,.600,10,30,.333,15,22,.682,99,42,90,.467,28,64,.438,14,26,.538,9,14,.643,107
18,2018-12-21,LAL,,NOP,W 112-104,240,43,92,.467,35,60,.583,8,32,.250,18,25,.720,112,44,102,.431,36,75,.480,8,27,.296,8,16,.500,104
19,2018-12-18,LAL,@,BRK,L 110-115,240,42,90,.467,29,50,.580,13,40,.325,13,23,.565,110,44,91,.484,30,57,.526,14,34,.412,13,19,.684,115
20,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,2018-12-16,LAL,@,WAS,L 110-128,240,44,91,.484,33,55,.600,11,36,.306,11,18,.611,110,54,106,.509,41,75,.547,13,31,.419,7,10,.700,128
22,2018-12-15,LAL,@,CHO,W 128-100,240,49,92,.533,35,58,.603,14,34,.412,16,24,.667,128,39,92,.424,32,63,.508,7,29,.241,15,18,.833,100
23,2018-12-13,LAL,@,HOU,L 111-126,240,43,80,.538,33,48,.688,10,32,.313,15,27,.556,111,42,85,.494,27,51,.529,15,34,.441,27,32,.844,126
24,2018-12-10,LAL,,MIA,W 108-105,240,41,90,.456,27,58,.466,14,32,.438,12,20,.600,108,42,94,.447,31,60,.517,11,34,.324,10,13,.769,105
25,2018-12-08,LAL,@,MEM,W 111-88,240,43,97,.443,27,57,.474,16,40,.400,9,12,.750,111,34,84,.405,28,54,.519,6,30,.200,14,18,.778,88
26,2018-12-07,LAL,@,SAS,L 120-133,240,46,100,.460,35,64,.547,11,36,.306,17,21,.810,120,46,91,.505,33,60,.550,13,31,.419,28,33,.848,133
27,2018-12-05,LAL,,SAS,W 121-113,240,42,88,.477,28,49,.571,14,39,.359,23,33,.697,121,43,96,.448,36,69,.522,7,27,.259,20,20,1.000,113
28,2018-12-02,LAL,,PHO,W 120-96,240,46,92,.500,35,65,.538,11,27,.407,17,23,.739,120,37,93,.398,24,60,.400,13,33,.394,9,11,.818,96
29,2018-11-30,LAL,,DAL,W 114-103,240,42,86,.488,33,56,.589,9,30,.300,21,32,.656,114,34,86,.395,24,47,.511,10,39,.256,25,34,.735,103
30,2018-11-29,LAL,,IND,W 104-96,240,42,86,.488,35,62,.565,7,24,.292,13,23,.565,104,32,86,.372,22,63,.349,10,23,.435,22,27,.815,96
31,2018-11-27,LAL,@,DEN,L 85-117,240,34,87,.391,29,52,.558,5,35,.143,12,18,.667,85,47,97,.485,38,72,.528,9,25,.360,14,15,.933,117
