,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
0,2019-01-27,MIA,@,NYK,W 106-97,240,39,84,.464,27,51,.529,12,33,.364,16,18,.889,106,36,84,.429,29,58,.500,7,26,.269,18,24,.750,97
1,2019-01-25,MIA,@,CLE,W 100-94,240,37,80,.463,28,57,.491,9,23,.391,17,25,.680,100,37,85,.435,27,55,.491,10,30,.333,10,13,.769,94
2,2019-01-23,MIA,,LAC,L 99-111,240,39,83,.470,31,55,.564,8,28,.286,13,22,.591,99,45,85,.529,38,63,.603,7,22,.318,14,21,.667,111
3,2019-01-21,MIA,@,BOS,L 99-107,240,36,86,.419,25,51,.490,11,35,.314,16,18,.889,99,43,87,.494,31,57,.544,12,30,.400,9,10,.900,107
4,2019-01-19,MIA,@,CHI,W 117-103,240,45,79,.570,32,47,.681,13,32,.406,14,23,.609,117,35,89,.393,23,62,.371,12,27,.444,21,26,.808,103
5,2019-01-18,MIA,@,DET,L 93-98,240,39,77,.506,29,48,.604,10,29,.345,5,19,.263,93,35,82,.427,22,49,.449,13,33,.394,15,18,.833,98
6,2019-01-15,MIA,@,MIL,L 86-124,240,36,86,.419,28,52,.538,8,34,.235,6,8,.750,86,48,96,.500,31,57,.544,17,39,.436,11,18,.611,124
7,2019-01-12,MIA,,MEM,W 112-108,240,40,80,.500,25,49,.510,15,31,.484,17,24,.708,112,39,81,.481,30,52,.577,9,29,.310,21,27,.778,108
8,2019-01-10,MIA,,BOS,W 115-99,240,46,96,.479,28,57,.491,18,39,.462,5,8,.625,115,36,89,.404,24,55,.436,12,34,.353,15,17,.882,99
9,2019-01-08,MIA,,DEN,L 99-103,240,38,83,.458,30,52,.577,8,31,.258,15,25,.600,99,41,87,.471,32,60,.533,9,27,.333,12,17,.706,103
10,2019-01-06,MIA,@,ATL,L 82-106,240,31,87,.356,26,53,.491,5,34,.147,15,27,.556,82,43,91,.473,33,67,.493,10,24,.417,10,13,.769,106
11,2019-01-04,MIA,,WAS,W 115-109,240,44,91,.484,35,62,.565,9,29,.310,18,25,.720,115,42,98,.429,32,62,.516,10,36,.278,15,19,.789,109
12,2019-01-02,MIA,@,CLE,W 117-92,240,44,86,.512,28,55,.509,16,31,.516,13,17,.765,117,34,75,.453,21,44,.477,13,31,.419,11,13,.846,92
13,2018-12-30,MIA,,MIN,L 104-113,240,37,90,.411,29,66,.439,8,24,.333,22,28,.786,104,38,94,.404,30,70,.429,8,24,.333,29,36,.806,113
14,2018-12-28,MIA,,CLE,W 118-94,240,48,91,.527,38,60,.633,10,31,.323,12,16,.750,118,31,81,.383,18,44,.409,13,37,.351,19,22,.864,94
15,2018-12-26,MIA,,TOR,L 104-106,240,43,83,.518,31,54,.574,12,29,.414,6,12,.500,104,37,79,.468,24,49,.490,13,30,.433,19,23,.826,106
16,2018-12-23,MIA,@,ORL,W 115-91,240,43,85,.506,27,54,.500,16,31,.516,13,19,.684,115,29,70,.414,19,42,.452,10,28,.357,23,32,.719,91
17,2018-12-22,MIA,,MIL,W 94-87,240,34,89,.382,24,57,.421,10,32,.313,16,23,.696,94,31,84,.369,22,41,.537,9,43,.209,16,22,.727,87
18,2018-12-20,MIA,,HOU,W 101-99,240,36,93,.387,27,54,.500,9,39,.231,20,34,.588,101,29,82,.354,11,28,.393,18,54,.333,23,30,.767,99
19,2018-12-16,MIA,@,NOP,W 102-96,240,38,91,.418,28,56,.500,10,35,.286,16,23,.696,102,35,86,.407,22,50,.440,13,36,.361,13,17,.765,96
20,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,2018-12-14,MIA,@,MEM,W 100-97,240,36,82,.439,21,43,.488,15,39,.385,13,18,.722,100,35,83,.422,27,54,.500,8,29,.276,19,25,.760,97
22,2018-12-12,MIA,@,UTA,L 84-111,240,29,77,.377,17,44,.386,12,33,.364,14,24,.583,84,40,76,.526,24,44,.545,16,32,.500,15,21,.714,111
23,2018-12-10,MIA,@,LAL,L 105-108,240,42,94,.447,31,60,.517,11,34,.324,10,13,.769,105,41,90,.456,27,58,.466,14,32,.438,12,20,.600,108
24,2018-12-08,MIA,@,LAC,W 121-98,240,40,92,.435,27,53,.509,13,39,.333,28,39,.718,121,33,89,.371,26,60,.433,7,29,.241,25,31,.806,98
25,2018-12-07,MIA,@,PHO,W 115-98,240,42,86,.488,27,49,.551,15,37,.405,16,18,.889,115,36,79,.456,22,45,.489,14,34,.412,12,16,.750,98
26,2018-12-04,MIA,,ORL,L 90-105,240,38,91,.418,26,56,.464,12,35,.343,2,5,.400,90,38,86,.442,24,58,.414,14,28,.500,15,20,.750,105
27,2018-12-02,MIA,,UTA,W 102-100,240,36,91,.396,23,60,.383,13,31,.419,17,24,.708,102,39,89,.438,28,56,.500,11,33,.333,11,15,.733,100
28,2018-11-30,MIA,,NOP,W 106-101,240,40,93,.430,29,60,.483,11,33,.333,15,24,.625,106,35,82,.427,29,54,.537,6,28,.214,25,29,.862,101
29,2018-11-27,MIA,,ATL,L 113-115,240,40,87,.460,27,49,.551,13,38,.342,20,30,.667,113,38,80,.475,26,49,.531,12,31,.387,27,32,.844,115
30,2018-11-25,MIA,@,TOR,L 115-125,240,39,95,.411,24,59,.407,15,36,.417,22,32,.688,115,47,90,.522,36,55,.655,11,35,.314,20,25,.800,125
31,2018-11-23,MIA,@,CHI,W 103-96,240,37,87,.425,27,53,.509,10,34,.294,19,31,.613,103,35,94,.372,28,66,.424,7,28,.250,19,20,.950,96
32,2018-11-20,MIA,,BRK,L 92-104,240,36,100,.360,29,68,.426,7,32,.219,13,20,.650,92,38,88,.432,30,57,.526,8,31,.258,20,26,.769,104
33,2018-11-18,MIA,,LAL,L 97-113,240,35,87,.402,22,55,.400,13,32,.406,14,19,.737,97,42,95,.442,31,68,.456,11,27,.407,18,21,.857,113
34,2018-11-16,MIA,@,IND,L 91-99,240,35,93,.376,21,57,.368,14,36,.389,7,10,.700,91,36,81,.444,22,54,.407,14,27,.519,13,15,.867,99
35,2018-11-14,MIA,@,BRK,W 120-107,240,46,85,.541,38,56,.679,8,29,.276,20,28,.714,120,41,101,.406,33,73,.452,8,28,.286,17,24,.708,107
36,2018-11-12,MIA,,PHI,L 114-124,240,37,77,.481,24,46,.522,13,31,.419,27,33,.818,114,39,83,.470,24,47,.511,15,36,.417,31,39,.795,124
37,2018-11-10,MIA,,WAS,L 110-116,240,39,88,.443,27,55,.491,12,33,.364,20,26,.769,110,40,83,.482,32,61,.525,8,22,.364,28,38,.737,116
38,2018-11-09,MIA,,IND,L 102-110,240,36,80,.450,22,53,.415,14,27,.519,16,27,.593,102,43,79,.544,36,59,.610,7,20,.350,17,29,.586,110
39,2018-11-07,MIA,,SAS,W 95-88,240,36,93,.387,26,61,.426,10,32,.313,13,18,.722,95,31,94,.330,18,62,.290,13,32,.406,13,14,.929,88
40,2018-11-05,MIA,@,DET,W 120-115 (OT),265,44,98,.449,32,67,.478,12,31,.387,20,31,.645,120,43,105,.410,32,70,.457,11,35,.314,18,28,.643,115
41,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
42,2018-11-03,MIA,@,ATL,L 118-123,240,41,85,.482,25,45,.556,16,40,.400,20,26,.769,118,46,88,.523,33,56,.589,13,32,.406,18,23,.783,123
43,2018-10-30,MIA,@,CHO,L 113-125,240,41,87,.471,30,59,.508,11,28,.393,20,24,.833,113,44,81,.543,31,53,.585,13,28,.464,24,29,.828,125
44,2018-10-29,MIA,,SAC,L 113-123,240,38,92,.413,25,53,.472,13,39,.333,24,34,.706,113,48,97,.495,36,71,.507,12,26,.462,15,25,.600,123
45,2018-10-27,MIA,,POR,W 120-111,240,44,96,.458,29,57,.509,15,39,.385,17,26,.654,120,37,88,.420,25,55,.455,12,33,.364,25,28,.893,111
46,2018-10-24,MIA,,NYK,W 110-87,240,39,82,.476,26,53,.491,13,29,.448,19,28,.679,110,33,91,.363,21,58,.362,12,33,.364,9,14,.643,87
47,2018-10-20,MIA,,CHO,L 112-113,240,41,89,.461,30,55,.545,11,34,.324,19,27,.704,112,41,93,.441,25,51,.490,16,42,.381,15,23,.652,113
48,2018-10-18,MIA,@,WAS,W 113-112,240,38,97,.392,26,62,.419,12,35,.343,25,34,.735,113,38,81,.469,31,55,.564,7,26,.269,29,39,.744,112
49,2018-10-17,MIA,@,ORL,L 101-104,240,38,97,.392,29,64,.453,9,33,.273,16,22,.727,101,39,94,.415,32,69,.464,7,25,.280,19,31,.613,104
50,2018-04-11,MIA,,TOR,W 116-109 (OT),265,46,106,.434,35,80,.438,11,26,.423,13,20,.650,116,42,92,.457,33,62,.532,9,30,.300,16,21,.762,109
51,2018-04-09,MIA,,OKC,L 93-115,240,40,87,.460,35,65,.538,5,22,.227,8,14,.571,93,35,81,.432,21,46,.457,14,35,.400,31,38,.816,115
52,2018-04-06,MIA,@,NYK,L 98-122,240,35,88,.398,28,61,.459,7,27,.259,21,22,.955,98,45,89,.506,27,52,.519,18,37,.486,14,21,.667,122
