,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
0,2019-01-27,NYK,,MIA,L 97-106,240,36,84,.429,29,58,.500,7,26,.269,18,24,.750,97,39,84,.464,27,51,.529,12,33,.364,16,18,.889,106
1,2019-01-25,NYK,@,BRK,L 99-109,240,37,87,.425,29,56,.518,8,31,.258,17,26,.654,99,34,84,.405,25,51,.490,9,33,.273,32,47,.681,109
2,2019-01-23,NYK,,HOU,L 110-114,240,37,81,.457,26,51,.510,11,30,.367,25,30,.833,110,37,90,.411,26,46,.565,11,44,.250,29,38,.763,114
3,2019-01-21,NYK,,OKC,L 109-127,240,39,87,.448,32,64,.500,7,23,.304,24,32,.750,109,45,83,.542,30,54,.556,15,29,.517,22,27,.815,127
4,2019-01-17,NYK,@,WAS,L 100-101,240,39,87,.448,27,58,.466,12,29,.414,10,12,.833,100,40,92,.435,33,65,.508,7,27,.259,14,20,.700,101
5,2019-01-13,NYK,,PHI,L 105-108,240,37,86,.430,27,55,.491,10,31,.323,21,30,.700,105,40,87,.460,34,67,.507,6,20,.300,22,30,.733,108
6,2019-01-11,NYK,,IND,L 106-121,240,39,88,.443,25,49,.510,14,39,.359,14,16,.875,106,49,94,.521,37,68,.544,12,26,.462,11,11,1.000,121
7,2019-01-08,NYK,@,GSW,L 95-122,240,35,88,.398,29,64,.453,6,24,.250,19,21,.905,95,49,96,.510,35,51,.686,14,45,.311,10,12,.833,122
8,2019-01-07,NYK,@,POR,L 101-111,240,36,89,.404,29,66,.439,7,23,.304,22,27,.815,101,40,85,.471,29,54,.537,11,31,.355,20,29,.690,111
9,2019-01-04,NYK,@,LAL,W 119-112,240,37,99,.374,26,62,.419,11,37,.297,34,41,.829,119,43,98,.439,32,61,.525,11,37,.297,15,20,.750,112
10,2019-01-01,NYK,@,DEN,L 108-115,240,42,93,.452,31,66,.470,11,27,.407,13,18,.722,108,44,95,.463,32,61,.525,12,34,.353,15,23,.652,115
11,2018-12-29,NYK,@,UTA,L 97-129,240,32,86,.372,17,54,.315,15,32,.469,18,22,.818,97,51,93,.548,35,57,.614,16,36,.444,11,14,.786,129
12,2018-12-27,NYK,@,MIL,L 96-112,240,36,97,.371,23,66,.348,13,31,.419,11,16,.688,96,42,93,.452,31,61,.508,11,32,.344,17,21,.810,112
13,2018-12-25,NYK,,MIL,L 95-109,240,35,97,.361,27,68,.397,8,29,.276,17,21,.810,95,40,89,.449,34,57,.596,6,32,.188,23,34,.676,109
14,2018-12-21,NYK,,ATL,L 107-114,240,41,84,.488,33,57,.579,8,27,.296,17,24,.708,107,43,91,.473,33,62,.532,10,29,.345,18,24,.750,114
15,2018-12-19,NYK,@,PHI,L 109-131,240,37,86,.430,27,55,.491,10,31,.323,25,31,.806,109,47,88,.534,32,58,.552,15,30,.500,22,25,.880,131
16,2018-12-17,NYK,,PHO,L 110-128,240,40,99,.404,31,64,.484,9,35,.257,21,29,.724,110,48,92,.522,39,65,.600,9,27,.333,23,27,.852,128
17,2018-12-16,NYK,@,IND,L 99-110,240,37,89,.416,27,57,.474,10,32,.313,15,22,.682,99,40,87,.460,28,53,.528,12,34,.353,18,23,.783,110
18,2018-12-14,NYK,@,CHO,W 126-124 (OT),265,47,98,.480,35,64,.547,12,34,.353,20,31,.645,126,48,102,.471,28,54,.519,20,48,.417,8,10,.800,124
19,2018-12-12,NYK,@,CLE,L 106-113,240,41,94,.436,30,67,.448,11,27,.407,13,14,.929,106,43,91,.473,33,57,.579,10,34,.294,17,21,.810,113
20,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,2018-12-09,NYK,,CHO,L 107-119,240,44,93,.473,31,67,.463,13,26,.500,6,7,.857,107,42,87,.483,30,53,.566,12,34,.353,23,27,.852,119
22,2018-12-08,NYK,,BRK,L 104-112,240,39,83,.470,31,57,.544,8,26,.308,18,30,.600,104,43,88,.489,32,66,.485,11,22,.500,15,25,.600,112
23,2018-12-06,NYK,@,BOS,L 100-128,240,36,91,.396,24,56,.429,12,35,.343,16,20,.800,100,49,92,.533,36,54,.667,13,38,.342,17,20,.850,128
24,2018-12-03,NYK,,WAS,L 107-110,240,37,90,.411,25,56,.446,12,34,.353,21,28,.750,107,44,92,.478,31,60,.517,13,32,.406,9,12,.750,110
25,2018-12-01,NYK,,MIL,W 136-134 (OT),265,51,96,.531,31,62,.500,20,34,.588,14,21,.667,136,46,94,.489,28,52,.538,18,42,.429,24,31,.774,134
26,2018-11-28,NYK,@,PHI,L 91-117,240,32,92,.348,26,63,.413,6,29,.207,21,22,.955,91,47,87,.540,35,62,.565,12,25,.480,11,16,.688,117
27,2018-11-27,NYK,@,DET,L 108-115,240,36,91,.396,27,64,.422,9,27,.333,27,32,.844,108,38,80,.475,31,56,.554,7,24,.292,32,45,.711,115
28,2018-11-25,NYK,@,MEM,W 103-98,240,34,91,.374,26,69,.377,8,22,.364,27,32,.844,103,38,86,.442,27,56,.482,11,30,.367,11,19,.579,98
29,2018-11-23,NYK,,NOP,W 114-109,240,41,91,.451,29,58,.500,12,33,.364,20,27,.741,114,40,101,.396,33,73,.452,7,28,.250,22,29,.759,109
30,2018-11-21,NYK,@,BOS,W 117-109,240,44,89,.494,29,59,.492,15,30,.500,14,17,.824,117,38,97,.392,28,64,.438,10,33,.303,23,32,.719,109
31,2018-11-20,NYK,,POR,L 114-118,240,42,83,.506,29,54,.537,13,29,.448,17,22,.773,114,45,95,.474,29,60,.483,16,35,.457,12,17,.706,118
32,2018-11-18,NYK,@,ORL,L 117-131,240,40,87,.460,32,63,.508,8,24,.333,29,35,.829,117,48,84,.571,35,52,.673,13,32,.406,22,26,.846,131
33,2018-11-16,NYK,@,NOP,L 124-129,240,48,98,.490,37,64,.578,11,34,.324,17,24,.708,124,48,99,.485,38,65,.585,10,34,.294,23,32,.719,129
