,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
0,2019-01-26,PHI,@,DEN,L 110-126,240,38,91,.418,24,55,.436,14,36,.389,20,27,.741,110,48,94,.511,40,70,.571,8,24,.333,22,29,.759,126
1,2019-01-23,PHI,,SAS,W 122-120,240,47,93,.505,30,57,.526,17,36,.472,11,14,.786,122,47,82,.573,34,55,.618,13,27,.481,13,15,.867,120
2,2019-01-21,PHI,,HOU,W 121-93,240,43,88,.489,35,65,.538,8,23,.348,27,33,.818,121,31,86,.360,20,44,.455,11,42,.262,20,26,.769,93
3,2019-01-19,PHI,,OKC,L 115-117,240,38,81,.469,27,49,.551,11,32,.344,28,39,.718,115,41,93,.441,29,62,.468,12,31,.387,23,26,.885,117
4,2019-01-17,PHI,@,IND,W 120-96,240,46,87,.529,28,53,.528,18,34,.529,10,11,.909,120,39,97,.402,30,68,.441,9,29,.310,9,12,.750,96
5,2019-01-15,PHI,,MIN,W 149-107,240,55,92,.598,34,49,.694,21,43,.488,18,21,.857,149,35,90,.389,27,67,.403,8,23,.348,29,35,.829,107
6,2019-01-13,PHI,@,NYK,W 108-105,240,40,87,.460,34,67,.507,6,20,.300,22,30,.733,108,37,86,.430,27,55,.491,10,31,.323,21,30,.700,105
7,2019-01-11,PHI,,ATL,L 121-123,240,45,87,.517,34,54,.630,11,33,.333,20,27,.741,121,45,81,.556,33,56,.589,12,25,.480,21,27,.778,123
8,2019-01-09,PHI,@,WAS,L 106-123,240,37,86,.430,29,59,.492,8,27,.296,24,31,.774,106,47,87,.540,34,60,.567,13,27,.481,16,21,.762,123
9,2019-01-08,PHI,,WAS,W 132-115,240,49,88,.557,32,55,.582,17,33,.515,17,25,.680,132,42,84,.500,28,52,.538,14,32,.438,17,21,.810,115
10,2019-01-05,PHI,,DAL,W 106-100,240,39,83,.470,33,57,.579,6,26,.231,22,33,.667,106,38,88,.432,29,57,.509,9,31,.290,15,23,.652,100
11,2019-01-02,PHI,@,PHO,W 132-127,240,40,74,.541,29,50,.580,11,24,.458,41,54,.759,132,43,95,.453,32,61,.525,11,34,.324,30,36,.833,127
12,2019-01-01,PHI,@,LAC,W 119-113,240,42,87,.483,30,61,.492,12,26,.462,23,33,.697,119,42,91,.462,37,66,.561,5,25,.200,24,34,.706,113
13,2018-12-30,PHI,@,POR,L 95-129,240,34,96,.354,26,53,.491,8,43,.186,19,27,.704,95,49,83,.590,37,61,.607,12,22,.545,19,25,.760,129
14,2018-12-27,PHI,@,UTA,W 114-97,240,43,86,.500,30,51,.588,13,35,.371,15,18,.833,114,33,86,.384,22,51,.431,11,35,.314,20,27,.741,97
15,2018-12-25,PHI,@,BOS,L 114-121 (OT),265,38,92,.413,23,52,.442,15,40,.375,23,29,.793,114,45,108,.417,31,67,.463,14,41,.341,17,20,.850,121
16,2018-12-22,PHI,,TOR,W 126-101,240,46,85,.541,38,61,.623,8,24,.333,26,35,.743,126,37,95,.389,27,55,.491,10,40,.250,17,19,.895,101
17,2018-12-19,PHI,,NYK,W 131-109,240,47,88,.534,32,58,.552,15,30,.500,22,25,.880,131,37,86,.430,27,55,.491,10,31,.323,25,31,.806,109
18,2018-12-17,PHI,@,SAS,L 96-123,240,40,98,.408,29,61,.475,11,37,.297,5,7,.714,96,49,87,.563,40,64,.625,9,23,.391,16,17,.941,123
19,2018-12-16,PHI,@,CLE,W 128-105,240,51,91,.560,40,64,.625,11,27,.407,15,20,.750,128,41,88,.466,29,58,.500,12,30,.400,11,17,.647,105
20,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,2018-12-14,PHI,,IND,L 101-113,240,36,88,.409,27,52,.519,9,36,.250,20,27,.741,101,42,95,.442,34,75,.453,8,20,.400,21,24,.875,113
22,2018-12-12,PHI,,BRK,L 124-127,240,50,91,.549,38,63,.603,12,28,.429,12,16,.750,124,38,74,.514,24,46,.522,14,28,.500,37,43,.860,127
23,2018-12-10,PHI,,DET,W 116-102,240,39,88,.443,24,51,.471,15,37,.405,23,35,.657,116,41,84,.488,32,63,.508,9,21,.429,11,21,.524,102
24,2018-12-07,PHI,@,DET,W 117-111,240,44,90,.489,35,58,.603,9,32,.281,20,21,.952,117,37,89,.416,30,61,.492,7,28,.250,30,37,.811,111
25,2018-12-05,PHI,@,TOR,L 102-113,240,40,88,.455,29,53,.547,11,35,.314,11,14,.786,102,43,100,.430,35,71,.493,8,29,.276,19,22,.864,113
26,2018-12-02,PHI,,MEM,W 103-95,240,36,74,.486,28,52,.538,8,22,.364,23,30,.767,103,33,79,.418,22,51,.431,11,28,.393,18,23,.783,95
27,2018-11-30,PHI,,WAS,W 123-98,240,43,98,.439,31,60,.517,12,38,.316,25,33,.758,123,37,92,.402,29,64,.453,8,28,.286,16,19,.842,98
28,2018-11-28,PHI,,NYK,W 117-91,240,47,87,.540,35,62,.565,12,25,.480,11,16,.688,117,32,92,.348,26,63,.413,6,29,.207,21,22,.955,91
29,2018-11-25,PHI,@,BRK,W 127-125,240,44,91,.484,32,62,.516,12,29,.414,27,33,.818,127,50,88,.568,40,63,.635,10,25,.400,15,20,.750,125
30,2018-11-23,PHI,,CLE,L 112-121,240,40,75,.533,28,42,.667,12,33,.364,20,26,.769,112,49,93,.527,38,71,.535,11,22,.500,12,16,.750,121
31,2018-11-21,PHI,,NOP,W 121-120,240,44,98,.449,34,69,.493,10,29,.345,23,26,.885,121,42,98,.429,31,68,.456,11,30,.367,25,33,.758,120
32,2018-11-19,PHI,,PHO,W 119-114,240,41,84,.488,35,62,.565,6,22,.273,31,42,.738,119,44,87,.506,31,54,.574,13,33,.394,13,24,.542,114
33,2018-11-17,PHI,@,CHO,W 122-119 (OT),265,39,93,.419,28,58,.483,11,35,.314,33,38,.868,122,42,99,.424,32,68,.471,10,31,.323,25,27,.926,119
34,2018-11-16,PHI,,UTA,W 113-107,240,41,81,.506,30,58,.517,11,23,.478,20,32,.625,113,41,88,.466,37,66,.561,4,22,.182,21,37,.568,107
35,2018-11-14,PHI,@,ORL,L 106-111,240,41,86,.477,27,57,.474,14,29,.483,10,15,.667,106,40,80,.500,28,52,.538,12,28,.429,19,22,.864,111
36,2018-11-12,PHI,@,MIA,W 124-114,240,39,83,.470,24,47,.511,15,36,.417,31,39,.795,124,37,77,.481,24,46,.522,13,31,.419,27,33,.818,114
37,2018-11-10,PHI,@,MEM,L 106-112 (OT),265,44,85,.518,36,54,.667,8,31,.258,10,16,.625,106,45,103,.437,34,73,.466,11,30,.367,11,15,.733,112
38,2018-11-09,PHI,,CHO,W 133-132 (OT),265,45,94,.479,33,57,.579,12,37,.324,31,41,.756,133,43,110,.391,27,70,.386,16,40,.400,30,40,.750,132
39,2018-11-07,PHI,@,IND,W 100-94,240,36,79,.456,26,47,.553,10,32,.313,18,22,.818,100,37,94,.394,29,63,.460,8,31,.258,12,17,.706,94
40,2018-11-04,PHI,@,BRK,L 97-122,240,31,65,.477,27,45,.600,4,20,.200,31,41,.756,97,50,105,.476,41,77,.532,9,28,.321,13,18,.722,122
41,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
42,2018-11-03,PHI,,DET,W 109-99,240,28,69,.406,19,40,.475,9,29,.310,44,51,.863,109,33,83,.398,28,53,.528,5,30,.167,28,41,.683,99
43,2018-11-01,PHI,,LAC,W 122-113,240,44,93,.473,31,66,.470,13,27,.481,21,28,.750,122,38,86,.442,29,63,.460,9,23,.391,28,33,.848,113
44,2018-10-30,PHI,@,TOR,L 112-129,240,38,91,.418,24,51,.471,14,40,.350,22,30,.733,112,47,92,.511,36,65,.554,11,27,.407,24,28,.857,129
45,2018-10-29,PHI,,ATL,W 113-92,240,41,99,.414,27,52,.519,14,47,.298,17,18,.944,113,35,94,.372,27,57,.474,8,37,.216,14,21,.667,92
46,2018-10-27,PHI,,CHO,W 105-103,240,35,91,.385,25,63,.397,10,28,.357,25,30,.833,105,37,95,.389,28,60,.467,9,35,.257,20,24,.833,103
47,2018-10-24,PHI,@,MIL,L 108-123,240,38,92,.413,27,58,.466,11,34,.324,21,30,.700,108,41,100,.410,28,57,.491,13,43,.302,28,30,.933,123
48,2018-10-23,PHI,@,DET,L 132-133 (OT),265,49,98,.500,35,55,.636,14,43,.326,20,28,.714,132,51,108,.472,39,75,.520,12,33,.364,19,27,.704,133
49,2018-10-20,PHI,,ORL,W 116-115,240,45,94,.479,28,61,.459,17,33,.515,9,10,.900,116,41,90,.456,25,61,.410,16,29,.552,17,22,.773,115
50,2018-10-18,PHI,,CHI,W 127-108,240,44,93,.473,32,57,.561,12,36,.333,27,30,.900,127,44,101,.436,33,68,.485,11,33,.333,9,12,.750,108
51,2018-10-16,PHI,@,BOS,L 87-105,240,34,87,.391,29,61,.475,5,26,.192,14,23,.609,87,42,97,.433,31,60,.517,11,37,.297,10,14,.714,105
52,2018-04-11,PHI,,MIL,W 130-95,240,52,105,.495,37,69,.536,15,36,.417,11,15,.733,130,37,90,.411,30,65,.462,7,25,.280,14,16,.875,95
53,2018-04-10,PHI,@,ATL,W 121-113,240,43,87,.494,26,50,.520,17,37,.459,18,30,.600,121,41,98,.418,28,61,.459,13,37,.351,18,26,.692,113
54,2018-04-08,PHI,,DAL,W 109-97,240,46,91,.505,38,64,.594,8,27,.296,9,14,.643,109,40,94,.426,29,54,.537,11,40,.275,6,13,.462,97
55,2018-04-06,PHI,,CLE,W 132-130,240,50,101,.495,36,62,.581,14,39,.359,18,21,.857,132,45,87,.517,29,53,.547,16,34,.471,24,33,.727,130
56,2018-04-04,PHI,@,DET,W 115-108,240,44,89,.494,31,59,.525,13,30,.433,14,19,.737,115,39,88,.443,23,52,.442,16,36,.444,14,23,.609,108
57,2018-04-03,PHI,,BRK,W 121-95,240,50,91,.549,41,70,.586,9,21,.429,12,18,.667,121,34,81,.420,17,39,.436,17,42,.405,10,23,.435,95
58,2018-04-01,PHI,@,CHO,W 119-102,240,48,94,.511,34,62,.548,14,32,.438,9,10,.900,119,33,82,.402,24,52,.462,9,30,.300,27,34,.794,102
59,2018-03-30,PHI,@,ATL,W 101-91,240,42,95,.442,34,57,.596,8,38,.211,9,13,.692,101,36,101,.356,27,62,.435,9,39,.231,10,15,.667,91
60,2018-03-28,PHI,,NYK,W 118-101,240,45,98,.459,36,67,.537,9,31,.290,19,27,.704,118,36,94,.383,27,63,.429,9,31,.290,20,26,.769,101
61,2018-03-26,PHI,,DEN,W 123-104,240,46,91,.505,33,62,.532,13,29,.448,18,25,.720,123,36,84,.429,25,52,.481,11,32,.344,21,34,.618,104
62,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
63,2018-03-24,PHI,,MIN,W 120-108,240,42,88,.477,29,51,.569,13,37,.351,23,36,.639,120,37,96,.385,31,73,.425,6,23,.261,28,38,.737,108
64,2018-03-22,PHI,@,ORL,W 118-98,240,42,89,.472,27,52,.519,15,37,.405,19,24,.792,118,37,91,.407,27,58,.466,10,33,.303,14,22,.636,98
65,2018-03-21,PHI,,MEM,W 119-105,240,46,84,.548,35,53,.660,11,31,.355,16,20,.800,119,40,99,.404,31,72,.431,9,27,.333,16,20,.800,105
66,2018-03-19,PHI,,CHO,W 108-94,240,42,93,.452,24,49,.490,18,44,.409,6,8,.750,108,32,84,.381,26,62,.419,6,22,.273,24,30,.800,94
67,2018-03-16,PHI,,BRK,W 120-116,240,43,95,.453,31,68,.456,12,27,.444,22,26,.846,120,40,89,.449,25,59,.424,15,30,.500,21,27,.778,116
68,2018-03-15,PHI,@,NYK,W 118-110,240,41,91,.451,26,54,.481,15,37,.405,21,34,.618,118,45,87,.517,40,67,.597,5,20,.250,15,24,.625,110
69,2018-03-13,PHI,,IND,L 98-101,240,35,75,.467,25,45,.556,10,30,.333,18,22,.818,98,38,95,.400,33,71,.465,5,24,.208,20,25,.800,101
70,2018-03-11,PHI,@,BRK,W 120-97,240,50,95,.526,41,69,.594,9,26,.346,11,18,.611,120,33,85,.388,23,57,.404,10,28,.357,21,24,.875,97
71,2018-03-08,PHI,@,MIA,L 99-108,240,34,86,.395,19,49,.388,15,37,.405,16,21,.762,99,42,89,.472,28,63,.444,14,26,.538,10,18,.556,108
72,2018-03-06,PHI,@,CHO,W 128-114,240,50,87,.575,34,54,.630,16,33,.485,12,15,.800,128,40,80,.500,29,51,.569,11,29,.379,23,31,.742,114
73,2018-03-04,PHI,@,MIL,L 110-118,240,39,70,.557,25,42,.595,14,28,.500,18,22,.818,110,47,95,.495,37,72,.514,10,23,.435,14,22,.636,118
74,2018-03-02,PHI,,CHO,W 110-99,240,41,81,.506,32,57,.561,9,24,.375,19,25,.760,110,34,81,.420,23,57,.404,11,24,.458,20,32,.625,99
75,2018-03-01,PHI,@,CLE,W 108-97,240,40,90,.444,30,60,.500,10,30,.333,18,27,.667,108,36,87,.414,27,55,.491,9,32,.281,16,23,.696,97
