iter	Logloss
0	0.6931048544
1	0.6930585305
2	0.6930148324
3	0.6929728953
4	0.6929291941
5	0.6928870717
6	0.6928466414
7	0.6928030542
8	0.6927642683
9	0.6927190607
10	0.6926766895
11	0.6926367731
12	0.6925864574
13	0.6925385844
14	0.6924931238
15	0.6924491928
16	0.6924083944
17	0.6923654386
18	0.6923207671
19	0.6922810601
20	0.6922402379
21	0.6921985401
22	0.6921566614
23	0.692111344
24	0.69206925
25	0.6920293429
26	0.6919852667
27	0.6919464827
28	0.6919031867
29	0.6918627569
30	0.6918183898
31	0.6917766974
32	0.6917362718
33	0.6916985051
34	0.6916597093
35	0.6916184951
36	0.6915777977
37	0.6915393533
38	0.6914995068
39	0.6914473549
40	0.6914025313
41	0.6913634942
42	0.6913237739
43	0.6912838594
44	0.6912458604
45	0.6912031502
46	0.6911640042
47	0.6911236695
48	0.6910856254
49	0.6910440647
50	0.6910036634
51	0.6909640381
52	0.6909233675
53	0.6908843235
54	0.6908452118
55	0.69080315
56	0.6907654587
57	0.6907274812
58	0.6906912611
59	0.6906530124
60	0.6906142909
61	0.6905775855
62	0.6905437552
63	0.6905005889
64	0.6904592324
65	0.6904134287
66	0.6903768958
67	0.690334911
68	0.6902977184
69	0.6902583959
70	0.6902170257
71	0.690179399
72	0.690142358
73	0.6901020536
74	0.6900653327
75	0.6900310168
76	0.6899948242
77	0.6899507147
78	0.6899139438
79	0.689877962
80	0.6898407861
81	0.6898065718
82	0.6897735291
83	0.68973566
84	0.6896982984
85	0.6896608982
86	0.6896246003
87	0.6895834531
88	0.6895455519
89	0.6895089871
90	0.6894685666
91	0.6894297213
92	0.6893945629
93	0.6893573366
94	0.6893165866
95	0.6892808033
96	0.6892468083
97	0.6892067485
98	0.6891693673
99	0.6891355807
100	0.689096988
101	0.6890584819
102	0.6890211148
103	0.6889847959
104	0.6889484335
105	0.6889103628
106	0.6888751298
107	0.688841072
108	0.6888066569
109	0.6887665906
110	0.6887252954
111	0.6886920177
112	0.6886511833
113	0.6886170958
114	0.6885807088
115	0.6885397672
116	0.6885069137
117	0.6884711186
118	0.6884351749
119	0.6883969227
120	0.6883622749
121	0.6883313519
122	0.6882979149
123	0.6882598989
124	0.6882218894
125	0.6881872712
126	0.6881516398
127	0.6881197903
128	0.6880823779
129	0.688047115
130	0.6880124736
131	0.6879790243
132	0.6879444457
133	0.6879125017
134	0.6878777434
135	0.6878434004
136	0.6878106099
137	0.6877753361
138	0.6877402438
139	0.6877070051
140	0.6876706534
141	0.687635647
142	0.6876018699
143	0.6875703159
144	0.687536113
145	0.6875036141
146	0.6874719171
147	0.6874380461
148	0.6874063731
149	0.6873719484
150	0.6873338145
151	0.6873028631
152	0.687270525
153	0.687236294
154	0.6872051463
155	0.6871738872
156	0.6871361734
157	0.6871047316
158	0.6870696164
159	0.6870387805
160	0.6870034969
161	0.6869715984
162	0.686940809
163	0.6869074629
164	0.6868722768
165	0.6868401368
166	0.6868042047
167	0.6867704645
168	0.6867346968
169	0.686701975
170	0.6866688275
171	0.6866383894
172	0.6866063606
173	0.6865721703
174	0.6865384802
175	0.6865067674
176	0.6864774745
177	0.6864449635
178	0.6864098242
179	0.6863763767
180	0.6863429802
181	0.6863096463
182	0.6862730157
183	0.6862371871
184	0.6862015638
185	0.6861731941
186	0.6861425545
187	0.6861116311
188	0.6860817601
189	0.6860482757
190	0.686015657
191	0.6859877862
192	0.6859544039
193	0.6859235723
194	0.6858941593
195	0.6858636921
196	0.6858283916
197	0.6857965083
198	0.685764558
199	0.6857345117
200	0.6857029684
201	0.6856722463
202	0.6856395526
203	0.6856027005
204	0.6855726982
205	0.6855450683
206	0.685511662
207	0.6854817109
208	0.6854499681
209	0.6854229275
210	0.6853887503
211	0.6853607708
212	0.6853291924
213	0.6852970437
214	0.6852663514
215	0.6852349514
216	0.6852040065
217	0.6851761433
218	0.685146995
219	0.6851166251
220	0.6850834737
221	0.6850466168
222	0.6850160998
223	0.684985047
224	0.684954234
225	0.6849221133
226	0.6848922219
227	0.6848610624
228	0.6848309369
229	0.6848029943
230	0.684776187
231	0.6847503129
232	0.6847188795
233	0.684688454
234	0.6846600895
235	0.6846347059
236	0.684608233
237	0.6845752099
238	0.6845442784
239	0.6845117688
240	0.6844801671
241	0.6844473845
242	0.6844178754
243	0.6843861376
244	0.6843560579
245	0.6843285752
246	0.6842984744
247	0.6842637869
248	0.684232731
249	0.6842008197
250	0.6841715321
251	0.6841420782
252	0.6841133858
253	0.6840881077
254	0.6840605585
255	0.6840325532
256	0.6840054775
257	0.6839812574
258	0.6839520763
259	0.6839211811
260	0.6838884749
261	0.6838572898
262	0.6838293466
263	0.6838003638
264	0.6837714988
265	0.6837467654
266	0.6837160488
267	0.6836874583
268	0.6836646489
269	0.6836398342
270	0.6836084794
271	0.683582749
272	0.6835551856
273	0.6835277401
274	0.6835015347
275	0.6834731164
276	0.6834451524
277	0.6834142287
278	0.6833857674
279	0.6833572199
280	0.6833318594
281	0.6833038112
282	0.6832769218
283	0.6832460394
284	0.6832197817
285	0.6831944452
286	0.6831679882
287	0.6831426357
288	0.6831128168
289	0.6830885139
290	0.6830607722
291	0.6830334146
292	0.6830063461
293	0.6829825024
294	0.6829590655
295	0.6829283049
296	0.6828996757
297	0.6828744085
298	0.6828461383
299	0.6828191085
300	0.682792082
301	0.6827612606
302	0.6827348232
303	0.682710959
304	0.6826884404
305	0.6826631675
306	0.6826370654
307	0.6826113296
308	0.6825805528
309	0.6825533616
310	0.6825276387
311	0.6824972585
312	0.6824683596
313	0.6824448018
314	0.6824181127
315	0.6823862993
316	0.6823633817
317	0.6823388149
318	0.6823128514
319	0.6822872188
320	0.6822605932
321	0.6822318205
322	0.6822054116
323	0.682178608
324	0.6821527134
325	0.6821213329
326	0.6820966583
327	0.6820692581
328	0.6820438838
329	0.6820188823
330	0.6819944231
331	0.6819704503
332	0.681946327
333	0.6819219747
334	0.6818951176
335	0.6818705715
336	0.681845955
337	0.681824252
338	0.6818036825
339	0.6817777368
340	0.6817552793
341	0.681732341
342	0.6817083397
343	0.6816851851
344	0.6816607915
345	0.681626153
346	0.6816023164
347	0.6815768931
348	0.6815509761
349	0.6815257011
350	0.6815000043
351	0.6814736524
352	0.681451108
353	0.6814273898
354	0.6814027542
355	0.6813793165
356	0.6813533617
357	0.6813306661
358	0.6813051966
359	0.68128638
360	0.6812639217
361	0.6812399999
362	0.6812182396
363	0.681195803
364	0.6811709389
365	0.6811426964
366	0.6811156007
367	0.6810932328
368	0.6810698474
369	0.6810452609
370	0.6810192856
371	0.6809950322
372	0.6809672587
373	0.6809422815
374	0.6809166566
375	0.6808903291
376	0.680865527
377	0.6808425871
378	0.6808184069
379	0.6807934364
380	0.6807617296
381	0.6807339841
382	0.6807120546
383	0.6806877287
384	0.6806635993
385	0.6806430406
386	0.6806183382
387	0.6805956237
388	0.68057099
389	0.6805478323
390	0.6805229561
391	0.6804980474
392	0.6804753889
393	0.680450951
394	0.680426126
395	0.6804041948
396	0.680378159
397	0.6803529091
398	0.6803301327
399	0.6803045407
400	0.6802795693
401	0.6802593567
402	0.6802383058
403	0.6802159067
404	0.6801929371
405	0.6801710338
406	0.6801472973
407	0.6801198144
408	0.6800989893
409	0.6800764302
410	0.680053012
411	0.6800290739
412	0.6800041587
413	0.6799771536
414	0.6799566802
415	0.6799338121
416	0.6799141347
417	0.6798914482
418	0.6798673543
419	0.6798416084
420	0.6798150205
421	0.6797973058
422	0.6797722129
423	0.6797509903
424	0.6797297671
425	0.6797050368
426	0.6796825596
427	0.679659279
428	0.6796328029
429	0.6796097332
430	0.6795939178
431	0.6795709398
432	0.6795500977
433	0.6795259011
434	0.6795011404
435	0.6794782487
436	0.6794569809
437	0.6794324687
438	0.6794083469
439	0.6793868663
440	0.6793606513
441	0.6793392607
442	0.6793188715
443	0.679299869
444	0.6792814698
445	0.6792606019
446	0.6792378484
447	0.6792163516
448	0.6791982067
449	0.6791748868
450	0.6791552836
451	0.6791311652
452	0.6791109318
453	0.6790876577
454	0.6790672972
455	0.6790442707
456	0.6790242139
457	0.679005246
458	0.6789839438
459	0.6789606553
460	0.6789402852
461	0.6789191605
462	0.6788999319
463	0.678882727
464	0.6788588557
465	0.6788369467
466	0.6788092934
467	0.6787904313
468	0.6787665673
469	0.6787432294
470	0.6787216245
471	0.6787008364
472	0.6786780385
473	0.6786539325
474	0.6786311857
475	0.6786062229
476	0.6785866152
477	0.6785656404
478	0.6785454976
479	0.6785277238
480	0.678509759
481	0.6784858506
482	0.6784591333
483	0.6784394653
484	0.678419059
485	0.6783973269
486	0.6783762386
487	0.6783551479
488	0.6783341782
489	0.6783126786
490	0.678292891
491	0.6782723068
492	0.6782538324
493	0.6782351696
494	0.6782146909
495	0.6781884174
496	0.678164378
497	0.6781426647
498	0.6781194418
499	0.6780986266
500	0.6780774647
501	0.6780556822
502	0.6780327252
503	0.6780094843
504	0.6779882585
505	0.6779687992
506	0.6779441305
507	0.6779228718
508	0.6779052247
509	0.6778840949
510	0.6778643395
511	0.6778484681
512	0.6778333805
513	0.6778132817
514	0.6777926996
515	0.6777712848
516	0.6777522702
517	0.6777332543
518	0.6777108295
519	0.6776884277
520	0.677670675
521	0.6776522513
522	0.6776319647
523	0.677611939
524	0.6775939223
525	0.6775777902
526	0.6775592285
527	0.6775400388
528	0.6775220831
529	0.6775026078
530	0.6774848842
531	0.6774608789
532	0.6774392516
533	0.6774232981
534	0.6774067302
535	0.6773851112
536	0.6773638192
537	0.6773456779
538	0.6773279877
539	0.6773110504
540	0.677290548
541	0.6772679238
542	0.6772516087
543	0.6772254731
544	0.6772075592
545	0.6771868865
546	0.6771676938
547	0.6771482063
548	0.6771233521
549	0.6771045352
550	0.6770845875
551	0.6770632806
552	0.6770409042
553	0.6770226597
554	0.6770013107
555	0.6769853945
556	0.6769604681
557	0.6769431251
558	0.6769232235
559	0.6769031846
560	0.676881915
561	0.6768624823
562	0.6768471578
563	0.6768286096
564	0.6768099371
565	0.6767926702
566	0.6767732391
567	0.6767561862
568	0.6767299191
569	0.6767103812
570	0.6766929985
571	0.6766729228
572	0.6766506083
573	0.6766309652
574	0.6766137052
575	0.6765960734
576	0.6765781861
577	0.6765602439
578	0.6765407657
579	0.6765207212
580	0.6764990403
581	0.6764815181
582	0.6764637538
583	0.6764433838
584	0.6764217371
585	0.6764052587
586	0.6763851137
587	0.6763674308
588	0.6763483573
589	0.6763331178
590	0.6763106451
591	0.6762934805
592	0.6762774444
593	0.6762580509
594	0.6762391956
595	0.6762215351
596	0.6762021621
597	0.6761822221
598	0.6761657314
599	0.6761495685
