iter	Passed	Remaining
0	90	54043
1	150	44996
2	216	43039
3	279	41604
4	340	40460
5	411	40761
6	494	41895
7	569	42177
8	635	41714
9	697	41165
10	770	41261
11	876	42960
12	950	42897
13	1018	42628
14	1089	42499
15	1180	43099
16	1237	42452
17	1313	42464
18	1375	42062
19	1442	41840
20	1523	42017
21	1579	41488
22	1644	41252
23	1723	41362
24	1793	41260
25	1848	40814
26	1911	40561
27	1982	40504
28	2041	40201
29	2107	40034
30	2179	40012
31	2239	39754
32	2298	39488
33	2356	39235
34	2425	39159
35	2486	38950
36	2539	38635
37	2594	38370
38	2674	38469
39	2733	38267
40	2799	38165
41	2861	38014
42	2914	37755
43	2973	37576
44	3027	37336
45	3106	37410
46	3165	37247
47	3219	37021
48	3303	37150
49	3369	37059
50	3422	36843
51	3470	36577
52	3528	36420
53	3589	36290
54	3649	36165
55	3714	36079
56	3770	35922
57	3856	36042
58	3923	35972
59	3992	35932
60	4070	35965
61	4130	35841
62	4184	35664
63	4251	35608
64	4313	35500
65	4393	35550
66	4463	35508
67	4537	35496
68	4601	35407
69	4649	35203
70	4711	35102
71	4777	35036
72	4835	34906
73	4892	34774
74	4951	34657
75	5022	34627
76	5077	34485
77	5134	34360
78	5190	34230
79	5263	34215
80	5326	34127
81	5372	33936
82	5429	33817
83	5500	33790
84	5559	33681
85	5614	33558
86	5676	33471
87	5749	33450
88	5811	33368
89	5865	33238
90	5939	33223
91	5997	33116
92	6056	33018
93	6106	32871
94	6154	32717
95	6208	32594
96	6283	32581
97	6334	32447
98	6405	32414
99	6471	32357
100	6536	32294
101	6594	32195
102	6656	32119
103	6722	32060
104	6784	31985
105	6831	31837
106	6878	31692
107	6948	31654
108	7002	31543
109	7055	31431
110	7119	31366
111	7198	31365
112	7288	31413
113	7340	31294
114	7402	31218
115	7464	31142
116	7518	31039
117	7581	30968
118	7646	30906
119	7713	30854
120	7778	30791
121	7815	30620
122	7883	30571
123	7947	30509
124	8003	30412
125	8062	30328
126	8132	30290
127	8180	30167
128	8268	30189
129	8338	30145
130	8390	30037
131	8450	29959
132	8524	29932
133	8589	29871
134	8647	29784
135	8702	29690
136	8776	29659
137	8844	29609
138	8896	29506
139	8951	29412
140	9011	29335
141	9082	29294
142	9137	29202
143	9200	29133
144	9259	29055
145	9332	29019
146	9389	28933
147	9447	28853
148	9511	28789
149	9566	28699
150	9626	28625
151	9684	28543
152	9739	28455
153	9809	28410
154	9863	28317
155	9910	28207
156	9975	28148
157	10047	28106
158	10107	28032
159	10166	27958
160	10235	27908
161	10308	27870
162	10368	27798
163	10414	27686
164	10471	27606
165	10537	27549
166	10597	27478
167	10646	27376
168	10701	27292
169	10767	27234
170	10839	27194
171	10894	27110
172	10964	27061
173	11026	26995
174	11078	26905
175	11131	26816
176	11191	26746
177	11252	26676
178	11322	26628
179	11383	26562
180	11461	26532
181	11524	26468
182	11580	26388
183	11636	26309
184	11696	26237
185	11765	26187
186	11810	26083
187	11866	26005
188	11932	25948
189	11996	25886
190	12052	25807
191	12103	25720
192	12168	25662
193	12239	25615
194	12291	25529
195	12343	25442
196	12396	25358
197	12473	25325
198	12522	25234
199	12575	25150
200	12639	25091
201	12703	25029
202	12759	24953
203	12810	24868
204	12881	24819
205	12913	24698
206	12977	24638
207	13034	24565
208	13092	24493
209	13153	24427
210	13211	24357
211	13272	24291
212	13326	24213
213	13391	24155
214	13470	24121
215	13521	24037
216	13596	23997
217	13652	23922
218	13712	23856
219	13762	23772
220	13829	23716
221	13897	23663
222	13956	23593
223	14018	23530
224	14082	23470
225	14152	23420
226	14216	23359
227	14264	23273
228	14325	23208
229	14391	23151
230	14445	23074
231	14510	23016
232	14579	22963
233	14641	22901
234	14713	22853
235	14768	22778
236	14856	22754
237	14940	22725
238	15003	22662
239	15077	22615
240	15146	22562
241	15200	22486
242	15261	22421
243	15323	22356
244	15383	22290
245	15439	22218
246	15493	22141
247	15565	22093
248	15630	22032
249	15690	21967
250	15742	21889
251	15807	21828
252	15877	21776
253	15933	21705
254	15980	21620
255	16034	21546
256	16116	21509
257	16175	21442
258	16235	21376
259	16305	21323
260	16360	21250
261	16421	21184
262	16462	21094
263	16523	21029
264	16576	20954
265	16642	20896
266	16709	20840
267	16775	20781
268	16798	20670
269	16858	20605
270	16913	20533
271	16978	20474
272	17026	20393
273	17079	20321
274	17160	20280
275	17213	20207
276	17265	20132
277	17317	20058
278	17369	19984
279	17444	19936
280	17510	19878
281	17568	19811
282	17639	19758
283	17705	19700
284	17763	19633
285	17805	19548
286	17866	19485
287	17925	19419
288	17988	19357
289	18039	19283
290	18102	19221
291	18169	19164
292	18222	19092
293	18280	19026
294	18330	18952
295	18404	18902
296	18472	18845
297	18520	18768
298	18572	18697
299	18631	18631
300	18672	18548
301	18738	18490
